chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁车公庄西703米,押2付3,6500,底层/3层,60,百万庄生肖区,简装
整租,距离地铁车公庄西931米,押2付3,16000,中楼层/16层,95,侨办大院,精装
整租,距离地铁车公庄西931米,押1付6,15000,底层/12层,150,侨办大院,精装
整租,距离地铁车公庄西878米,押2付3,15000,顶层/11层,110,百万庄大街甲39号楼,中装
展览路,距离地铁车公庄西600米,押1付3,5000,低楼层/6层,41.7,百万庄中里,其他
展览路,距离地铁车公庄西703米,押1付3,7550,底层/6层,65,百万庄生肖区,其他
展览路,距离地铁车公庄西339米,押1付3,6900,顶层/4层,66.1,展览路,其他
展览路,距离地铁车公庄西339米,押1付3,7000,底层/18层,64,展览路,其他
展览路,距离地铁车公庄西339米,押1付3,8000,底层/18层,78.3,展览路,其他
展览路,距离地铁车公庄西600米,押1付3,6600,顶层/6层,60,百万庄中里,其他
展览路,距离地铁车公庄西600米,押1付3,6900,中楼层/6层,68,百万庄中里,其他
展览路,距离地铁车公庄西339米,押1付3,6800,高楼层/5层,49.7,展览路,其他
展览路,距离地铁车公庄西516米,押1付3,6300,顶层/6层,40,百万庄大街甲21号院,其他
展览路,距离地铁车公庄西339米,押1付3,7400,底层/5层,45.2,展览路,其他
展览路,距离地铁车公庄西339米,押1付3,11000,底层/18层,84.2,展览路,其他
展览路,距离地铁车公庄西516米,押1付3,7200,底层/6层,60,百万庄大街甲21号院,其他
展览路,距离地铁车公庄西339米,押1付12,5500,顶层/3层,40.1,展览路,其他
展览路,距离地铁车公庄西339米,押1付3,6800,中楼层/12层,56,展览路,其他
展览路,距离地铁车公庄西339米,押1付3,7000,顶层/5层,49.4,展览路,其他
整租,距离地铁车公庄西600米,押2付3,7500,高楼层/6层,62.8,百万庄中里,中装
展览路,距离地铁车公庄西339米,押1付3,3900,底层/18层,18,展览路,其他
整租,距离地铁车公庄西931米,押1付3,13500,中楼层/18层,77.3,侨办大院,精装
整租,距离地铁车公庄西909米,押1付3,11000,高楼层/18层,84.2,展览馆路40、42、46号,精装
距离地铁车公庄西600米,距离地铁车公庄西600米,押1付3,5700,低楼层/6层,60,百万庄中里,整租
整租,距离地铁白堆子876米,押2付3,3000,顶层/4层,24,百万庄南街,中装
整租,距离地铁车公庄西413米,押1付3,7500,低楼层/18层,44.8,百万庄大街乙21号楼,精装
整租,距离地铁车公庄西342米,押1付6,4700,底层/3层,45,展览馆路4号,中装
整租,距离地铁车公庄西931米,押2付3,15000,底层/12层,127,侨办大院,精装
整租,距离地铁车公庄西600米,押1付3,6500,顶层/6层,62,百万庄中里,精装
整租,距离地铁车公庄西703米,押1付3,7000,顶层/3层,61,百万庄生肖区,中装
展览路,距离地铁车公庄西703米,押1付3,5500,低楼层/3层,61.2,百万庄生肖区,其他
整租,距离地铁车公庄西545米,押2付3,6300,高楼层/14层,44.7,百万庄大街18号楼,精装
整租,距离地铁车公庄西374米,押2付3,6000,高楼层/18层,59.6,展览馆路26、30号,中装
