chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁物资学院路370米,押1付3,6000,低楼层/6层,107,天赐良园东三期,精装
整租,距离地铁通州北关872米,押2付3,3300,高楼层/26层,46,财富东方,精装
整租,,押2付3,4800,顶层/6层,100,西潞苑小区,精装
整租,距离地铁物资学院路707米,押1付3,5000,中楼层/13层,85,永顺家园,精装
整租,距离地铁通州北关856米,押2付3,3600,中楼层/6层,90,万福家园,精装
整租,距离地铁通州北关855米,押2付3,6000,中楼层/25层,139,东阁雅舍,中装
整租,距离地铁通州北苑1224米,押2付3,4200,中楼层/6层,70,通惠北路小区,中装
整租,距离地铁物资学院路407米,押1付3,6500,高楼层/6层,108,天赐良园北二期,精装
整租,距离地铁通州北关855米,押2付3,5600,高楼层/25层,110,东阁雅舍,精装
整租,距离地铁通州北关855米,押1付3,4700,高楼层/25层,91.33,东阁雅舍,中装
整租,距离地铁物资学院路144米,押1付3,5300,底层/6层,85.66,天赐良园西三期,中装
整租,距离地铁通州北关855米,押1付3,5500,中楼层/25层,108.23,东阁雅舍,中装
整租,距离地铁通州北关1098米,押1付3,4500,高楼层/6层,104,富河园,精装
合租,距离地铁物资学院路370米,押1付3,1800,中楼层/5层,15,天赐良园东三期,简装
整租,,押2付3,10000,底层/2层,186,东潞苑八区,精装
整租,距离地铁通州北关1047米,押1付3,4700,高楼层/22层,95,碧水明珠,中装
合租,距离地铁物资学院路387米,押1付3,1950,底层/6层,20,物资学院3号院,精装
整租,,押2付3,4500,底层/21层,85,悦澜水岸家园,中装
整租,,押1付3,4200,顶层/6层,98,翠福园,中装
整租,距离地铁通州北苑1322米,押2付3,4600,高楼层/6层,98,馨通家园,精装
整租,,押1付3,3800,中楼层/18层,60,翠福园,中装
整租,距离地铁通州北关872米,押1付3,3500,中楼层/26层,46,财富东方,中装
整租,距离地铁通州北关831米,押1付3,4000,底层/6层,78,永顺北街1号,中装
整租,距离地铁通州北关855米,押2付3,5500,高楼层/25层,95,东阁雅舍,精装
整租,,押2付3,4000,高楼层/6层,84,西潞苑小区,精装
