chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
合租,距离地铁果园280米,押1付3,1650,高楼层/7层,28,达富苑小区,精装
整租,距离地铁九棵树879米,押2付3,3800,高楼层/6层,60,葛布店东里,精装
合租,距离地铁九棵树333米,押2付3,1600,底层/6层,20,葛布店南里,中装
整租,距离地铁九棵树333米,押3付3,3300,中楼层/6层,43,葛布店南里,精装
整租,距离地铁果园369米,押2付3,4400,顶层/6层,60,翠屏北里,中装
整租,距离地铁果园369米,押2付3,3700,中楼层/6层,60.27,翠屏北里,中装
合租,距离地铁果园677米,押2付3,3600,高楼层/7层,106.58,新华联家园南区,中装
整租,距离地铁果园521米,押1付3,2500,顶层/11层,30,新华联家园北区,简装
整租,距离地铁果园521米,押1付3,5500,顶层/6层,90,新华联家园北区,精装
整租,,押1付3,4500,低楼层/11层,75,晟世嘉园,精装
整租,距离地铁果园225米,押2付3,4000,低楼层/24层,63.1,苏荷时代,精装
整租,,押2付3,3500,低楼层/11层,40,晟世嘉园,中装
整租,距离地铁果园369米,押1付3,5300,低楼层/6层,85,翠屏北里,精装
整租,,押2付3,4700,中楼层/11层,80,晟世嘉园,中装
整租,距离地铁果园369米,押1付3,4000,高楼层/7层,60,翠屏北里,精装
整租,,押1付3,2200,底层/11层,50,晟世嘉园,中装
整租,距离地铁果园369米,押2付3,4700,高楼层/6层,87,翠屏北里,精装
合租,距离地铁果园81米,押2付3,2500,中楼层/9层,20,日光清城,中装
整租,,押2付3,3200,中楼层/11层,40,晟世嘉园,精装
整租,,押2付3,4600,低楼层/18层,80,晟世嘉园,精装
整租,,押2付3,3100,中楼层/11层,43,晟世嘉园,精装
整租,距离地铁果园521米,押1付3,2400,顶层/11层,30,新华联家园北区,中装
整租,距离地铁果园369米,押2付3,4200,高楼层/6层,68,翠屏北里,精装
整租,距离地铁果园216米,押1付3,5500,高楼层/17层,90.88,葵花社,精装
整租,距离地铁果园677米,押2付3,2200,底层/6层,25,新华联家园南区,中装
整租,距离地铁九棵树406米,押2付3,3000,高楼层/6层,65,葛布店北里,中装
整租,距离地铁九棵树406米,押2付3,3500,低楼层/6层,60,葛布店北里,中装
整租,距离地铁果园677米,押2付12,7600,中楼层/6层,98,新华联家园南区,中装
整租,距离地铁果园434米,押2付3,4000,底层/6层,75,复兴南里,精装
整租,距离地铁果园521米,押2付3,4500,底层/11层,70,新华联家园北区,精装
整租,距离地铁果园225米,押2付3,4700,高楼层/24层,64.94,苏荷时代,精装
整租,,押2付3,3200,中楼层/18层,50,晟世嘉园,中装
整租,距离地铁北运河东424米,押1付3,5000,高楼层/11层,90,新华联运河湾南区,精装
整租,,押2付3,3000,中楼层/11层,50,晟世嘉园,中装
合租,距离地铁九棵树495米,押2付3,1600,高楼层/18层,15,东总屯,中装
整租,,押2付3,4500,低楼层/18层,80,晟世嘉园,精装
整租,距离地铁九棵树565米,押1付3,9500,高楼层/18层,147,龙湖蔚蓝香醍,精装
整租,距离地铁九棵树879米,押2付3,3500,中楼层/6层,59.07,葛布店东里,中装
整租,距离地铁果园225米,押2付3,7200,中楼层/11层,128,苏荷时代,精装
整租,距离地铁九棵树333米,押2付3,3000,中楼层/6层,53,葛布店南里,精装
整租,距离地铁果园369米,押2付3,6000,中楼层/6层,126,翠屏北里,精装
整租,距离地铁九棵树333米,押2付3,4000,中楼层/6层,62,葛布店南里,精装
整租,距离地铁果园384米,押2付3,6000,低楼层/11层,104,雅丽世居,精装
整租,距离地铁果园828米,押2付3,3800,高楼层/6层,65,北机宿舍,精装
整租,距离地铁果园677米,押2付3,5500,高楼层/6层,130,新华联家园南区,精装
整租,距离地铁九棵树879米,押2付3,2600,底层/6层,85,葛布店东里,中装
整租,距离地铁果园1138米,押2付3,4500,顶层/6层,82,李老新村,中装
整租,距离地铁果园521米,押2付3,4000,中楼层/11层,40,新华联家园北区,精装
整租,距离地铁九棵树406米,押2付3,4500,低楼层/6层,70,葛布店北里,中装
整租,距离地铁果园369米,押1付3,4500,低楼层/6层,80,翠屏北里,中装
整租,距离地铁梨园593米,押2付3,4800,高楼层/6层,114,艺苑西街7、9号院,中装
整租,距离地铁果园369米,押2付3,1700,顶层/7层,70,翠屏北里,中装
合租,距离地铁九棵树406米,押1付3,1500,底层/6层,15,葛布店北里,中装
整租,距离地铁果园677米,押2付3,10000,底层/6层,80,新华联家园南区,精装
整租,距离地铁果园781米,押2付3,5500,高楼层/6层,90,巴克寓所,中装
合租,距离地铁果园492米,押2付3,1800,顶层/7层,10,果园西小区,中装
整租,距离地铁九棵树495米,押2付3,2000,低楼层/18层,64,东总屯,中装
整租,,押2付3,3300,高楼层/11层,45,晟世嘉园,中装
整租,距离地铁果园369米,押2付3,4200,底层/7层,60,翠屏北里,中装
整租,距离地铁北运河东590米,押2付3,6000,中楼层/32层,87,新华联运河湾北区,精装
整租,距离地铁果园677米,押2付3,5000,顶层/6层,75,新华联家园南区,精装
整租,距离地铁果园828米,押2付3,4000,中楼层/6层,70,北机宿舍,精装
整租,距离地铁果园280米,押2付3,5000,高楼层/7层,92,达富苑小区,精装
整租,距离地铁果园677米,押2付3,8000,中楼层/11层,136,新华联家园南区,中装
合租,距离地铁果园216米,押2付3,1900,低楼层/12层,20,葵花社,精装
整租,距离地铁果园677米,押1付3,6500,中楼层/6层,109.01,新华联家园南区,精装
整租,距离地铁果园677米,押1付3,15000,顶层/4层,200,新华联家园南区,中装
整租,距离地铁果园677米,押2付3,6000,顶层/6层,90,新华联家园南区,精装
整租,距离地铁九棵树406米,押2付3,2800,中楼层/6层,43,葛布店北里,简装
整租,距离地铁果园1138米,押2付3,4700,高楼层/6层,92,李老新村,简装
整租,距离地铁果园645米,押1付3,4500,低楼层/6层,63.37,运河西大街58号院,中装
合租,距离地铁果园1421米,押2付3,5500,中楼层/22层,90,通广嘉园,中装
整租,距离地铁果园677米,押2付3,2200,顶层/6层,20,新华联家园南区,中装
整租,距离地铁果园781米,押2付3,4500,高楼层/6层,87,巴克寓所,精装
整租,距离地铁九棵树565米,押2付3,11000,中楼层/20层,180,龙湖蔚蓝香醍,豪装
整租,距离地铁果园781米,押2付3,3600,高楼层/6层,50,巴克寓所,中装
整租,,押2付3,4200,中楼层/11层,45,晟世嘉园,中装
整租,距离地铁果园1421米,押1付3,5300,低楼层/32层,68,通广嘉园,精装
整租,,押2付3,3000,低楼层/18层,45,晟世嘉园,中装
整租,距离地铁果园280米,押2付3,5000,中楼层/7层,96,达富苑小区,精装
整租,,押1付3,4500,高楼层/11层,82,晟世嘉园,中装
整租,,押2付3,5500,中楼层/11层,90,晟世嘉园,精装
整租,,押2付3,3500,低楼层/18层,45,晟世嘉园,中装
整租,,押2付3,3000,高楼层/11层,45,晟世嘉园,精装
整租,,押2付3,2000,低楼层/11层,40,晟世嘉园,中装
整租,距离地铁果园280米,押2付3,5200,高楼层/7层,98,达富苑小区,中装
整租,距离地铁九棵树487米,押2付3,15000,底层/2层,200,果园南小区,精装
整租,,押2付3,4200,底层/11层,80,晟世嘉园,精装
整租,距离地铁果园188米,押2付3,5500,高楼层/6层,100,北苑南路42号院,中装
整租,距离地铁果园188米,押2付3,5000,低楼层/6层,100,北苑南路42号院,精装
整租,,押2付3,3000,低楼层/11层,50,晟世嘉园,中装
整租,距离地铁果园507米,押1付3,3700,中楼层/6层,70,运河西大街8号院,中装
整租,距离地铁九棵树495米,押2付3,5500,顶层/6层,84,东总屯,中装
整租,距离地铁九棵树487米,押2付3,15000,底层/1层,400,果园南小区,中装
整租,距离地铁果园225米,押2付3,4500,底层/24层,66,苏荷时代,简装
整租,距离地铁果园521米,押2付3,6000,低楼层/11层,112,新华联家园北区,中装
整租,,押1付3,6300,高楼层/27层,107,京贸国际公馆,精装
整租,距离地铁果园679米,押2付3,3700,中楼层/12层,60,巴克摩界,精装
整租,距离地铁果园492米,押2付3,4800,高楼层/7层,101.24,果园西小区,中装
整租,距离地铁果园384米,押1付3,6000,高楼层/18层,100,雅丽世居,精装
果园,距离地铁果园1138米,押1付3,4800,底层/6层,85,李老新村,其他
整租,距离地铁果园81米,押1付3,8000,高楼层/11层,130,日光清城,精装
果园,距离地铁九棵树879米,押1付3,3700,高楼层/6层,61,葛布店东里,其他
整租,距离地铁北运河东424米,押2付3,4500,低楼层/11层,57,新华联运河湾南区,中装
整租,距离地铁果园654米,押2付3,3600,顶层/6层,70,运河西大街155号院,中装
果园,距离地铁果园521米,押1付3,4200,低楼层/6层,70.56,新华联家园北区,其他
果园,,押1付3,4400,中楼层/18层,82.05,晟世嘉园,其他
果园,距离地铁果园434米,押1付3,4000,低楼层/6层,86.6,复兴南里,其他
果园,距离地铁九棵树532米,押1付3,7200,中楼层/18层,149,蓝山国际,其他
距离地铁果园975米,距离地铁果园975米,押1付3,6000,低楼层/18层,115,OLD世纪星城国际文化城,整租
果园,距离地铁果园384米,押1付3,5300,中楼层/11层,116,雅丽世居,其他
,,押1付3,1800,中楼层/17层,17,京贸国际公馆,合租
果园,距离地铁果园677米,押1付3,7700,底层/11层,137.43,新华联家园南区,其他
