chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁九棵树427米,押2付3,9500,低楼层/21层,145,瑞都国际,豪装
整租,,押1付3,3800,中楼层/28层,60,怡然世家,精装
整租,,押2付3,3700,中楼层/6层,48.28,阿尔法社区C区,中装
整租,,押2付3,4500,高楼层/6层,90,阿尔法社区C区,中装
整租,,押2付3,4500,高楼层/21层,89,龙湖大方居,精装
整租,距离地铁果园1351米,押2付3,4800,高楼层/12层,105,靓景明居,精装
整租,,押1付3,4000,顶层/6层,53.83,阿尔法社区C区,精装
整租,距离地铁九棵树427米,押2付3,4300,高楼层/28层,66.07,瑞都国际,精装
整租,,押1付3,4700,高楼层/26层,93,通景园,中装
整租,,押2付3,5000,高楼层/9层,90,京洲世家,精装
整租,,押2付3,4300,低楼层/6层,90,旗舰凯旋,中装
整租,,押2付3,3600,低楼层/10层,62,小稿村,中装
整租,,押1付3,4300,中楼层/24层,90,龙湖大方居,精装
整租,,押2付3,5800,中楼层/5层,100,阿尔法社区B区,豪装
整租,距离地铁九棵树447米,押2付3,6500,中楼层/28层,90,K2玉兰湾,简装
整租,,押2付3,24000,底层/2层,266,中泽雅园,精装
整租,距离地铁九棵树447米,押2付3,14000,低楼层/27层,162.2,K2玉兰湾,精装
整租,,押2付3,4500,顶层/6层,60.67,阿尔法社区C区,中装
整租,距离地铁九棵树637米,押1付3,3700,低楼层/28层,47,蓝调沙龙,中装
整租,,押2付3,4500,中楼层/26层,90,通景园,中装
整租,,押2付3,3100,中楼层/10层,67,小稿村,精装
整租,,押2付3,4200,低楼层/6层,89,旗舰凯旋,精装
整租,距离地铁九棵树447米,押2付3,10000,低楼层/27层,134,K2玉兰湾,精装
整租,,押2付3,3800,低楼层/6层,79,中泽家园,中装
整租,,押1付3,4600,低楼层/27层,70,怡然世家,精装
整租,,押2付3,4500,高楼层/22层,90,龙湖大方居,精装
整租,距离地铁九棵树447米,押2付3,7200,低楼层/26层,89,K2玉兰湾,豪装
整租,,押2付3,30000,底层/8层,400,龙湖花墅香醍,豪装
整租,,押2付3,6000,底层/6层,120,中泽家园,精装
