chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,,押1付3,7500,中楼层/21层,86,华业东方玫瑰A区,精装
整租,距离地铁临河里1031米,押2付3,4600,低楼层/6层,89,久居雅园,精装
整租,距离地铁土桥884米,押1付3,3700,低楼层/29层,78,新城乐居,精装
整租,距离地铁土桥1024米,押1付3,3800,高楼层/15层,76,华远铭悦,中装
整租,距离地铁土桥884米,押2付3,3800,中楼层/29层,80,新城乐居,精装
整租,距离地铁临河里1345米,押2付3,3900,中楼层/27层,55,海棠湾一期,精装
整租,距离地铁土桥292米,押2付3,3500,中楼层/26层,54,方恒东景,中装
整租,,押2付3,4500,低楼层/24层,90,华业东方玫瑰B区,中装
整租,距离地铁临河里1345米,押2付3,5500,高楼层/24层,90,海棠湾一期,精装
整租,距离地铁临河里1345米,押2付3,3800,中楼层/27层,45,海棠湾一期,精装
整租,距离地铁土桥835米,押2付3,4500,底层/18层,90,DBC加州小镇C区,精装
整租,,押2付3,4500,底层/24层,60,华业东方玫瑰B区,中装
整租,距离地铁土桥551米,押1付3,3600,中楼层/11层,65,DBC加州小镇B区,精装
整租,距离地铁土桥894米,押1付3,3600,中楼层/8层,68,金隅自由筑,中装
整租,距离地铁土桥551米,押2付3,5000,中楼层/8层,140,DBC加州小镇B区,中装
整租,距离地铁土桥1222米,押2付3,4500,高楼层/18层,90,高丽园小区,精装
整租,距离地铁土桥835米,押2付3,4500,中楼层/16层,93,DBC加州小镇C区,精装
整租,距离地铁土桥1222米,押1付3,3700,底层/18层,85,高丽园小区,中装
整租,距离地铁土桥1222米,押2付3,4000,低楼层/18层,80,高丽园小区,精装
整租,距离地铁土桥1024米,押2付3,3500,中楼层/28层,51,华远铭悦,精装
整租,,押2付3,6000,高楼层/21层,61,华业东方玫瑰A区,精装
整租,,押2付3,6500,中楼层/27层,98,海棠湾二期,精装
整租,,押2付3,5000,高楼层/27层,90,华业东方玫瑰B区,精装
整租,距离地铁土桥581米,押1付3,3000,顶层/6层,58,小街之春,简装
整租,距离地铁土桥884米,押2付3,4000,中楼层/29层,79,新城乐居,精装
整租,,押1付3,5500,中楼层/27层,99,华业东方玫瑰C区,精装
整租,距离地铁临河里1345米,押2付3,5800,低楼层/27层,89,海棠湾三期,精装
整租,距离地铁临河里1345米,押2付3,3500,低楼层/27层,52,海棠湾一期,精装
整租,,押2付3,5500,低楼层/26层,85,海棠湾二期,简装
整租,距离地铁临河里1345米,押2付3,10000,高楼层/17层,70,海棠湾一期,中装
整租,距离地铁临河里1031米,押2付3,10000,底层/6层,158,久居雅园,中装
整租,距离地铁土桥292米,押2付3,5000,高楼层/26层,85,方恒东景,精装
整租,距离地铁土桥292米,押2付3,3500,底层/26层,56,方恒东景,中装
整租,距离地铁土桥1024米,押2付3,6000,中楼层/11层,130,华远铭悦,精装
整租,距离地铁土桥884米,押2付3,4500,高楼层/29层,89,新城乐居,精装
整租,距离地铁临河里1345米,押2付3,3800,高楼层/28层,45.12,海棠湾三期,精装
整租,距离地铁土桥581米,押2付3,4600,底层/6层,86,小街之春,中装
整租,,押2付3,10000,底层/26层,300,海棠湾二期,精装
合租,距离地铁土桥835米,押2付3,2500,低楼层/14层,25,DBC加州小镇C区,精装
整租,距离地铁土桥1222米,押2付3,4000,底层/18层,81,高丽园小区,中装
整租,距离地铁土桥1052米,押2付3,6500,低楼层/13层,113,金隅花石匠,精装
整租,距离地铁临河里1031米,押2付3,3300,中楼层/12层,55.5,久居雅园,中装
整租,距离地铁土桥1052米,押1付3,7000,高楼层/15层,107,金隅花石匠,豪装
整租,,押2付3,6100,中楼层/27层,99,华业东方玫瑰A区,中装
整租,距离地铁土桥426米,押2付3,4200,顶层/5层,90,迎喜家园,中装
整租,距离地铁土桥957米,押1付3,6100,低楼层/21层,125,瑞都公园世家,精装
整租,距离地铁土桥551米,押2付3,4200,底层/11层,66,DBC加州小镇B区,豪装
整租,距离地铁土桥957米,押2付3,9600,低楼层/21层,165,瑞都公园世家,精装
整租,距离地铁土桥835米,押1付3,4500,中楼层/11层,90,DBC加州小镇C区,精装
整租,距离地铁土桥894米,押1付3,4500,低楼层/8层,69,金隅自由筑,精装
整租,距离地铁土桥894米,押1付3,3500,中楼层/7层,53,金隅自由筑,中装
整租,距离地铁临河里1031米,押2付3,15000,底层/6层,215,久居雅园,中装
整租,距离地铁临河里1031米,押2付3,2500,中楼层/6层,30,久居雅园,精装
整租,距离地铁土桥292米,押1付3,4600,高楼层/26层,76,方恒东景,精装
整租,距离地铁土桥957米,押2付3,6500,低楼层/21层,155,瑞都公园世家,精装
整租,,押2付3,4800,高楼层/24层,89,华业东方玫瑰B区,精装
整租,距离地铁土桥957米,押2付3,4800,低楼层/21层,85,瑞都公园世家,中装
合租,距离地铁临河里1345米,押2付3,2500,高楼层/27层,92,海棠湾一期,豪装
整租,距离地铁土桥835米,押1付3,5500,高楼层/18层,90,DBC加州小镇C区,精装
合租,,押2付3,2500,低楼层/26层,20,海棠湾二期,精装
整租,距离地铁临河里661米,押2付3,6000,中楼层/11层,108,花涧溪,精装
整租,,押2付3,5000,中楼层/21层,61,华业东方玫瑰A区,精装
整租,距离地铁土桥957米,押2付3,10000,低楼层/21层,165,瑞都公园世家,精装
