chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁梨园585米,押2付3,4800,中楼层/10层,90,新城阳光,精装
整租,距离地铁梨园420米,押2付3,4300,底层/35层,70,新通国际花园,中装
合租,距离地铁梨园420米,押2付3,2000,低楼层/35层,20,新通国际花园,精装
整租,距离地铁梨园164米,押2付3,5200,中楼层/19层,95,时尚街区东区,精装
合租,距离地铁梨园164米,押1付3,1800,高楼层/11层,20,时尚街区东区,精装
整租,距离地铁梨园164米,押2付3,4200,高楼层/10层,53.07,时尚街区东区,精装
整租,距离地铁梨园164米,押2付3,6500,低楼层/13层,105,时尚街区东区,精装
整租,距离地铁临河里663米,押1付3,3500,中楼层/6层,60,梨园新村,中装
整租,距离地铁梨园749米,押2付3,1800,高楼层/6层,18,站前巴黎,精装
整租,距离地铁梨园368米,押2付3,4200,顶层/6层,75,农机宿舍,中装
整租,距离地铁梨园119米,押2付3,5000,低楼层/6层,95,梨花园,精装
整租,距离地铁梨园749米,押1付3,5200,中楼层/6层,115,站前巴黎,精装
整租,距离地铁梨园251米,押2付3,3650,高楼层/18层,48,11STATION,精装
整租,距离地铁梨园376米,押2付3,4200,中楼层/10层,67,时尚街区西区,精装
整租,距离地铁梨园585米,押2付3,5700,底层/15层,97,新城阳光,精装
整租,距离地铁梨园420米,押2付3,5500,高楼层/22层,102,新通国际花园,中装
整租,距离地铁梨园907米,押2付3,4000,高楼层/6层,85,云景西里南区,精装
整租,距离地铁梨园251米,押2付3,4200,中楼层/18层,80.11,11STATION,中装
合租,距离地铁梨园476米,押1付3,1500,顶层/14层,20,梨园小镇,精装
整租,距离地铁梨园585米,押2付3,4700,高楼层/10层,97,新城阳光,精装
整租,距离地铁梨园556米,押2付3,4500,高楼层/25层,80,新城嘉园,精装
整租,距离地铁梨园749米,押1付3,5200,顶层/6层,95.67,站前巴黎,精装
整租,距离地铁梨园164米,押2付3,7500,高楼层/13层,150,时尚街区东区,精装
整租,距离地铁梨园556米,押2付3,4200,高楼层/25层,80,新城嘉园,精装
整租,距离地铁梨园556米,押2付3,4500,低楼层/28层,85,新城嘉园,精装
整租,距离地铁梨园1002米,押2付3,3500,中楼层/6层,57,云景里南门,精装
整租,距离地铁梨园585米,押2付3,4500,高楼层/15层,92,新城阳光,中装
整租,距离地铁梨园164米,押2付3,3800,高楼层/19层,60,时尚街区东区,中装
整租,距离地铁梨园1262米,押1付3,4000,中楼层/6层,78,公庄小区,精装
整租,距离地铁梨园556米,押2付3,4800,高楼层/28层,86,新城嘉园,精装
合租,距离地铁梨园164米,押2付3,1800,高楼层/19层,20,时尚街区东区,精装
整租,距离地铁梨园585米,押2付3,5200,低楼层/15层,92,新城阳光,精装
电话预约,距离地铁梨园420米,,4200,中楼层/27层,65,新通国际花园,精装
整租,距离地铁梨园164米,押2付3,3800,高楼层/13层,50,时尚街区东区,精装
整租,距离地铁梨园420米,押2付3,5500,低楼层/28层,94.05,新通国际花园,中装
整租,距离地铁梨园585米,押2付3,27000,底层/2层,230,新城阳光,中装
整租,距离地铁梨园907米,押2付3,4500,中楼层/6层,85,云景西里南区,精装
整租,距离地铁梨园376米,押2付3,4600,高楼层/18层,90,时尚街区西区,精装
整租,距离地铁梨园251米,押2付3,3300,低楼层/18层,45,11STATION,精装
整租,距离地铁梨园164米,押2付3,3800,中楼层/13层,60,时尚街区东区,精装
整租,距离地铁梨园1189米,押2付3,3600,低楼层/6层,87,群芳三园,精装
