chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,,押2付3,3400,中楼层/28层,70,富力惠兰美居,精装
整租,,押2付3,3500,中楼层/6层,75,华龙小区,简装
整租,,押2付3,3800,中楼层/6层,90,新潮嘉园,中装
整租,,押2付3,2800,低楼层/21层,70,李庄新村,中装
整租,,押2付3,3700,低楼层/18层,84,东潞苑,中装
整租,,押2付3,4500,高楼层/21层,93,富力惠兰美居,中装
合租,,押2付3,1800,中楼层/6层,12,至善家园,精装
整租,,押2付3,3500,高楼层/6层,104,四海公寓,中装
整租,,押1付3,3800,低楼层/28层,96,李庄新村,精装
整租,,押2付3,4000,低楼层/18层,89,K2清水湾,精装
整租,,押1付3,3700,低楼层/6层,88.9,华龙小区,简装
整租,,押2付3,3500,中楼层/6层,85,华龙小区,中装
整租,,押2付3,3000,中楼层/6层,60,华龙小区,精装
整租,距离地铁通州北关1399米,押2付3,3300,高楼层/28层,60,通瑞嘉苑,精装
整租,,押2付3,3700,中楼层/6层,87.76,自然佳境,中装
整租,,押2付3,6000,高楼层/27层,89.93,K2清水湾,精装
整租,,押1付3,3500,高楼层/6层,80,诺丁山,精装
整租,,押1付3,4600,低楼层/14层,94,古韵新居,中装
整租,,押2付3,4300,底层/6层,80,小潞邑,中装
整租,,押2付3,4000,低楼层/6层,70,华龙小区,中装
整租,,押1付3,4600,低楼层/10层,93,珠江丽景家园,精装
整租,,押2付3,2600,中楼层/6层,65.69,新潮嘉园,中装
整租,,押2付3,3800,高楼层/6层,105,潞苑嘉园,中装
整租,,押2付3,4000,高楼层/31层,95,华龙新区,中装
整租,,押2付3,4000,低楼层/22层,96,李庄新村,精装
整租,距离地铁通州北关1399米,押2付3,3600,高楼层/25层,61,通瑞嘉苑,简装
整租,距离地铁通州北关1399米,押1付3,6000,高楼层/17层,90,通瑞嘉苑,中装
整租,距离地铁通州北关1442米,押2付3,16666,底层/2层,368,运通花园,精装
整租,,押2付3,3800,高楼层/28层,70,富力惠兰美居,中装
整租,,押2付3,3500,顶层/6层,96.82,自然佳境,中装
整租,,押2付3,4500,高楼层/6层,112,华龙小区,中装
整租,,押2付3,3700,高楼层/14层,80,诺丁山,中装
整租,,押1付3,3000,高楼层/6层,97,上潞园,简装
整租,,押2付3,4000,高楼层/14层,80,诺丁山,中装
整租,,押1付3,3400,低楼层/28层,74,富力惠兰美居,精装
整租,,押2付3,4200,高楼层/25层,93,东亚逸品阁,中装
整租,,押2付3,3800,底层/6层,90,华龙小区,中装
整租,,押1付3,3200,低楼层/28层,50,富力惠兰美居,精装
整租,,押2付3,4800,高楼层/10层,95,珠江拉维小镇,中装
整租,,押1付3,3200,高楼层/6层,85,疃里新村,精装
整租,,押2付3,4000,高楼层/10层,90,珠江拉维小镇,中装
整租,,押2付3,4200,中楼层/28层,67,富力惠兰美居,精装
整租,,押2付3,3800,中楼层/6层,87,自然佳境,精装
整租,,押2付3,4200,低楼层/7层,96,珠江拉维小镇,精装
整租,,押2付3,3400,高楼层/6层,74,上潞园,中装
整租,,押2付3,3500,高楼层/21层,80,富力惠兰美居,中装
整租,,押2付3,3500,顶层/6层,67,华龙小区,中装
整租,,押2付3,4600,中楼层/21层,110,富力惠兰美居,精装
整租,,押2付3,3200,高楼层/28层,48,富力惠兰美居,简装
整租,,押2付3,4500,高楼层/28层,93,富力惠兰美居,中装
整租,,押2付3,2800,低楼层/31层,53,华龙新区,中装
整租,,押2付3,3500,中楼层/6层,96,新潮嘉园,精装
整租,,押2付3,3300,中楼层/28层,80,富力惠兰美居,中装
整租,,押2付3,3800,高楼层/21层,75,富力惠兰美居,中装
整租,,押2付2,3300,高楼层/6层,105,四海公寓,简装
整租,,押2付3,3200,中楼层/6层,57,华龙小区,精装
整租,,押2付3,3500,中楼层/28层,73,富力惠兰美居,精装
合租,,押2付3,1500,低楼层/5层,80,华龙小区,精装
整租,,押2付3,7500,高楼层/27层,130,K2清水湾,精装
整租,,押2付3,4500,中楼层/22层,90,中建·雅颂居,精装
整租,,押2付3,5200,低楼层/18层,91,富力惠兰美居,精装
整租,,押1付3,4600,高楼层/21层,92,富力惠兰美居,豪装
整租,,押2付3,13000,底层/3层,209,东潞苑五区,精装
整租,,押2付3,3100,高楼层/11层,48.85,古韵新居,中装
整租,,押2付3,3000,中楼层/28层,50,富力惠兰美居,精装
整租,,押1付3,3200,高楼层/6层,105,四海公寓,精装
整租,,押1付3,4500,高楼层/9层,98,珠江拉维小镇,精装
整租,,押1付3,3500,低楼层/31层,57,华龙新区,精装
整租,,押2付3,25000,底层/3层,220,东潞苑五区,精装
整租,,押1付3,3500,中楼层/6层,75,小潞邑,精装
合租,,押2付3,1700,高楼层/14层,15,古韵新居,精装
整租,,押2付3,3300,中楼层/31层,60,华龙新区,精装
整租,,押2付3,3700,底层/6层,90,东潞苑,中装
整租,,押2付3,3200,顶层/6层,105,四海公寓,中装
整租,,押1付3,4300,低楼层/14层,94,古韵新居,精装
整租,,押2付3,4000,低楼层/18层,93,东亚逸品阁,中装
整租,,押2付3,3200,顶层/6层,70,潞苑嘉园,精装
整租,,押2付3,3800,中楼层/6层,80,潞苑嘉园,精装
整租,,押2付3,4500,低楼层/18层,103,富力惠兰美居,精装
整租,距离地铁通州北关1389米,押2付3,2500,顶层/6层,80,潞苑南大街88号院,中装
整租,,押2付3,3500,底层/6层,90,潞苑嘉园,中装
整租,,押2付3,3800,高楼层/6层,95,东潞苑,精装
整租,,押2付3,4200,高楼层/21层,91,富力惠兰美居,精装
整租,,押2付3,4000,底层/18层,87,富力惠兰美居,精装
整租,,押2付3,3500,中楼层/6层,90,刘庄新村,中装
整租,,押2付3,3500,中楼层/12层,80,李庄新村,中装
整租,,押2付3,3500,低楼层/6层,96,刘庄新村,中装
整租,,押2付3,5500,顶层/6层,150,小潞邑,中装
整租,距离地铁通州北关1399米,押2付3,3800,中楼层/11层,78,通瑞嘉苑,中装
整租,,押2付3,3500,高楼层/6层,93,上潞园,中装
整租,,押2付3,5500,低楼层/18层,87,东亚逸品阁,精装
整租,,押1付3,3300,高楼层/6层,94,上潞园,中装
整租,,押2付3,3800,高楼层/10层,85,珠江丽景家园,精装
整租,,押2付3,3500,中楼层/6层,93,上潞园,中装
整租,,押2付3,3800,底层/10层,80,珠江丽景家园,中装
整租,,押1付3,4500,中楼层/9层,97,珠江拉维小镇,精装
整租,,押1付3,3800,中楼层/9层,68,珠江拉维小镇,精装
整租,,押2付3,4500,高楼层/9层,95,珠江拉维小镇,中装
整租,,押1付3,3800,高楼层/10层,80,珠江丽景家园,中装
整租,,押2付3,4100,高楼层/10层,80,珠江拉维小镇,中装
合租,,押1付3,1500,顶层/6层,20,上潞园,中装
整租,,押1付3,14800,顶层/3层,209,中建红杉溪谷,精装
,,押2付3,6500,中楼层/4层,170,东潞苑五区,随时看房
整租,,押2付3,3800,高楼层/7层,83,潞潮佳苑,中装
整租,,押2付3,4000,底层/6层,110,东潞苑,简装
整租,,押2付3,4000,中楼层/15层,98,李庄新村,精装
整租,,押2付3,4500,低楼层/28层,90,富力惠兰美居,中装
整租,,押1付3,5300,高楼层/21层,106,富力惠兰美居,精装
合租,,押2付3,2000,低楼层/31层,18,华龙新区,中装
整租,,押2付3,5000,低楼层/27层,100,K2清水湾,精装
整租,,押2付3,6500,高楼层/27层,97,K2清水湾,精装
整租,,押2付3,3500,高楼层/6层,78,小潞邑,简装
整租,,押2付3,4000,高楼层/28层,80,富力惠兰美居,精装
整租,,押2付3,3900,高楼层/10层,80,珠江丽景家园,简装
整租,,押2付3,4500,顶层/14层,90,诺丁山,精装
整租,,押2付3,4000,中楼层/28层,70,富力惠兰美居,精装
整租,,押2付3,3800,高楼层/10层,80,珠江丽景家园,精装
整租,,押1付3,4500,高楼层/27层,60,K2清水湾,精装
整租,,押1付3,4500,中楼层/6层,126,华龙小区,中装
整租,,押2付3,4000,顶层/11层,95.63,苏坨新村,中装
整租,,押2付3,3800,顶层/11层,90,李庄新村,精装
整租,,押2付3,3800,底层/6层,88,潞苑嘉园,中装
整租,,押2付3,2700,高楼层/6层,50,潞苑嘉园,中装
整租,,押2付3,4000,中楼层/6层,90,东潞苑,精装
整租,,押2付3,5000,高楼层/25层,85,东亚逸品阁,精装
整租,距离地铁通州北关1309米,押2付3,4200,高楼层/6层,97,澜花语岸,精装
整租,,押2付3,15000,底层/3层,297,枫露皇苑,中装
