chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,,押2付3,3600,低楼层/28层,92,宏仁家园,精装
整租,,押2付3,4000,高楼层/25层,85,东亚瑞晶苑,精装
整租,,押2付3,3800,顶层/5层,80,一世情园,精装
合租,,押2付3,1600,顶层/6层,25,兴华嘉园,精装
整租,,押2付3,4300,高楼层/19层,87.19,东亚瑞晶苑,精装
整租,,押2付3,3600,底层/5层,72,金桥花园,精装
整租,,押2付3,3200,底层/6层,65,马驹桥温馨家园,精装
整租,,押2付3,4500,低楼层/20层,90,融科香雪兰溪,精装
整租,,押1付3,7500,高楼层/17层,210,合生·世界村,精装
整租,,押2付3,3700,中楼层/22层,71,合生·世界村,豪装
整租,,押2付3,3500,高楼层/18层,75,富力尚悦居D区,中装
整租,,押2付3,3000,低楼层/20层,60,马驹桥温馨家园,精装
整租,,押2付3,4500,高楼层/25层,85,米拉小镇,精装
整租,,押1付6,5500,低楼层/16层,125,合生世界花园,中装
整租,距离地铁同济南路1438米,押1付3,4500,高楼层/6层,87.85,莲水怡园,精装
整租,,押1付3,3100,低楼层/18层,55,马驹桥温馨家园,中装
整租,,押2付3,4500,高楼层/18层,88.13,东亚瑞晶苑,精装
整租,,押2付3,4800,底层/9层,98.42,金地格林小镇6,中装
整租,,押2付3,3600,中楼层/28层,91,宏仁家园,精装
整租,距离地铁同济南路1438米,押2付3,4400,低楼层/12层,101,莲水怡园,中装
整租,,押1付3,8000,底层/6层,160,样本小区,精装
整租,,押1付3,2900,中楼层/12层,60,兴华嘉园,精装
整租,,押2付3,4500,高楼层/21层,89,融科香雪兰溪,中装
整租,,押2付3,2400,底层/23层,28.8,融科香雪兰溪,精装
整租,,押1付3,3000,中楼层/25层,60,米拉小镇,精装
整租,,押2付3,5500,高楼层/20层,100,富力尚悦居C区,精装
合租,,押2付3,1700,低楼层/6层,25,辛屯小区,精装
整租,,押2付3,4800,高楼层/25层,89,融科香雪兰溪,精装
整租,,押1付3,3300,顶层/6层,67,新海北里,精装
整租,,押2付3,3800,高楼层/15层,80,首开国风美仑-回迁房-西区,精装
整租,,押1付1,3200,中楼层/21层,63,东亚瑞晶苑,精装
整租,,押1付3,5000,低楼层/21层,90,东亚瑞晶苑,精装
整租,,押2付3,4500,中楼层/25层,89,融科香雪兰溪,精装
整租,,押1付1,3200,高楼层/22层,71,合生·世界村,豪装
整租,,押2付3,3000,中楼层/6层,70,兴华嘉园,中装
整租,,押1付3,3800,中楼层/12层,86,兴华嘉园,精装
整租,,押2付3,3500,中楼层/6层,74,新海北里,中装
整租,,押2付3,3000,中楼层/15层,50,兴华嘉园,精装
整租,,押2付3,4500,中楼层/25层,89,融科香雪兰溪,精装
整租,,押2付3,3800,中楼层/18层,81,马驹桥温馨家园,中装
整租,,押1付3,3000,中楼层/6层,59,马驹桥温馨家园,精装
整租,,押2付3,3900,低楼层/14层,95,合生·世界村,精装
整租,,押1付3,4400,中楼层/10层,80.26,金地格林小镇6,精装
整租,,押2付3,7000,底层/4层,248.27,天鹅堡,毛坯
整租,,押2付3,3800,高楼层/18层,85,马驹桥温馨家园,精装
整租,,押2付3,3600,顶层/6层,74,新海北里,精装
整租,,押2付3,3300,低楼层/25层,75,合生·世界村,中装
整租,,押2付3,4000,高楼层/10层,137,金地格林小镇6,毛坯
整租,距离地铁同济南路1438米,押2付3,4800,低楼层/6层,87,莲水怡园,精装
合租,距离地铁同济南路1438米,押2付3,2400,底层/6层,20,莲水怡园,精装
整租,,押2付3,4500,高楼层/25层,88,米拉小镇,精装
整租,,押2付3,5800,低楼层/5层,128,一世情园,精装
合租,距离地铁同济南路1438米,押1付3,2000,中楼层/6层,100,莲水怡园,精装
整租,,押2付3,3000,底层/6层,80,辛屯小区,简装
整租,,押2付3,5500,中楼层/6层,120,辛屯小区,精装
合租,距离地铁同济南路1438米,押1付3,1400,中楼层/6层,12,莲水怡园,精装
整租,,押1付3,1600,中楼层/6层,110,样本小区,精装
随时看房,,押2付3,8000,底层/4层,245,天鹅堡,自供暖
整租,,押1付3,5000,低楼层/22层,115,融科钧廷,精装
整租,,押2付3,3200,高楼层/25层,60,合生·世界村,精装
整租,,押2付3,4000,高楼层/18层,84,马驹桥温馨家园,精装
整租,,押2付3,3500,中楼层/6层,85,辛屯小区,中装
整租,,押1付3,3000,高楼层/14层,54,合生·世界村,精装
整租,,押2付3,5500,低楼层/21层,130,融科香雪兰溪,精装
整租,,押2付3,7500,中楼层/25层,102,合生·世界村,中装
整租,,押2付3,9500,高楼层/14层,140,合生·世界村,精装
整租,,押2付3,4000,中楼层/15层,96.02,珠江·奥古斯塔城邦,精装
整租,,押1付3,4000,低楼层/28层,89.21,宏仁家园,精装
整租,,押1付3,3600,中楼层/8层,85,富力尚悦居E区,精装
整租,,押1付3,7500,中楼层/19层,101.96,合生·世界村,精装
整租,,押2付3,3800,中楼层/18层,81,马驹桥温馨家园,中装
整租,,押2付3,3800,高楼层/15层,89,珠江·奥古斯塔城邦,精装
整租,,押2付3,6000,中楼层/5层,143,融科香雪兰溪,简装
整租,,押2付3,3900,高楼层/15层,84,马驹桥温馨家园,精装
整租,,押2付3,4500,中楼层/25层,89,融科香雪兰溪,精装
