chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁北运河东1272米,押2付3,4800,底层/6层,105,柳岸景园,中装
整租,距离地铁北运河西1098米,押2付3,5500,中楼层/18层,85,玉桥佳园,精装
整租,距离地铁北运河西1247米,押2付3,5200,中楼层/6层,120,运乔嘉园,精装
整租,,押2付3,5300,高楼层/6层,104,艺苑东里,简装
整租,距离地铁北运河西793米,押2付3,3500,高楼层/6层,78.64,乔庄北区,简装
乔庄,距离地铁北运河西632米,押1付3,3500,高楼层/11层,45,上营新村,其他
乔庄,距离地铁北运河西654米,押1付3,3400,底层/11层,54.49,博客园,其他
整租,距离地铁北运河西756米,押2付3,4500,顶层/26层,95,乔庄东区,中装
整租,距离地铁北运河西744米,押2付3,5000,中楼层/4层,107,荞馨园,精装
整租,距离地铁北运河东1272米,押2付3,4500,低楼层/6层,99,柳岸景园,中装
整租,距离地铁北运河西1068米,押2付3,3600,中楼层/6层,70,玉桥东路36号院,精装
整租,距离地铁北运河东1272米,押2付3,3300,中楼层/6层,51,柳岸景园,精装
整租,距离地铁北运河西435米,押2付3,1500,顶层/6层,18,香林郡,精装
整租,距离地铁北运河西654米,押2付3,5000,高楼层/18层,98,博客园,精装
整租,距离地铁北运河西987米,押2付3,3500,中楼层/6层,60,乔庄北街3号院,精装
整租,距离地铁北运河西632米,押2付3,3700,中楼层/24层,41,上营新村,精装
整租,距离地铁北运河西756米,押2付3,3400,中楼层/11层,55,乔庄东区,中装
整租,距离地铁北运河西1270米,押2付3,3600,顶层/6层,60.38,玉桥北里,精装
整租,,押2付3,4800,中楼层/6层,100,艺苑东里,精装
整租,距离地铁北运河西868米,押2付3,4300,中楼层/6层,89,乔庄北街1号院,精装
整租,距离地铁北运河西793米,押2付3,3000,低楼层/6层,55,乔庄北区,中装
整租,距离地铁北运河西756米,押2付3,2800,中楼层/11层,52,乔庄东区,简装
整租,距离地铁北运河西1247米,押2付3,4600,低楼层/11层,124,运乔嘉园,精装
距离地铁北运河东529米,距离地铁北运河东529米,押1付3,2100,底层/33层,15,OLD新华联运河湾,合租
距离地铁北运河西898米,距离地铁北运河西898米,押1付3,1550,顶层/6层,10,乔庄西区,合租
整租,距离地铁北运河西898米,押2付3,3000,中楼层/6层,50,乔庄西区,中装
整租,距离地铁北运河西898米,押2付3,4000,高楼层/6层,86,乔庄西区,中装
距离地铁北运河西898米,距离地铁北运河西898米,押1付3,1450,顶层/6层,6,乔庄西区,合租
距离地铁北运河西898米,距离地铁北运河西898米,押1付3,1350,顶层/6层,8,乔庄西区,合租
整租,距离地铁北运河西1270米,押2付3,4500,低楼层/5层,74.03,玉桥北里,精装
乔庄,距离地铁北运河西1219米,押1付3,5000,高楼层/18层,85,玉桥家园,其他
乔庄,距离地铁北运河西987米,押1付3,4700,中楼层/6层,107.92,乔庄北街3号院,其他
整租,距离地铁北运河西435米,押2付3,15000,底层/1层,60,香林郡,精装
整租,距离地铁北运河西654米,押2付3,4000,低楼层/11层,92,博客园,精装
整租,距离地铁北运河西1270米,押2付3,4000,底层/6层,75.32,玉桥北里,简装
整租,距离地铁北运河西793米,押2付3,3800,顶层/6层,86,乔庄北区,中装
整租,距离地铁北运河西1270米,押2付3,3600,顶层/5层,55,玉桥北里,精装
整租,距离地铁北运河西435米,押2付3,5000,高楼层/6层,100,香林郡,中装
整租,距离地铁北运河西632米,押2付3,3500,中楼层/24层,40,上营新村,中装
乔庄,距离地铁北运河西987米,押1付3,3500,中楼层/6层,59.24,乔庄北街3号院,其他
整租,距离地铁北运河西1219米,押2付3,4500,中楼层/18层,84,玉桥家园,中装
乔庄,距离地铁北运河西1219米,押1付3,4700,底层/18层,82.28,玉桥家园,其他
乔庄,距离地铁北运河西1270米,押1付3,3500,顶层/4层,55.74,玉桥北里,其他
乔庄,距离地铁北运河西1270米,押1付3,3100,顶层/4层,47.44,玉桥北里,其他
乔庄,距离地铁北运河西898米,押1付3,3500,底层/6层,48,乔庄西区,其他
乔庄,距离地铁北运河西1010米,押1付3,3500,低楼层/6层,84.16,运河居,其他
乔庄,距离地铁北运河西744米,押1付3,1500,中楼层/6层,14,荞馨园,其他
乔庄,距离地铁北运河西1270米,押1付3,4000,高楼层/6层,60.8,玉桥北里,其他
整租,距离地铁北运河西435米,押2付3,8200,顶层/6层,154,香林郡,精装
整租,距离地铁北运河西654米,押1付3,3500,低楼层/18层,60,博客园,精装
整租,距离地铁北运河西632米,押2付3,3500,底层/18层,45,上营新村,中装
整租,距离地铁北运河西1270米,押2付3,3600,高楼层/6层,70,玉桥北里,中装
