chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁果园986米,押1付3,3900,低楼层/23层,53.18,长城国际,精装
整租,距离地铁果园990米,押2付3,7200,中楼层/26层,120,世纪星城,精装
整租,距离地铁通州北苑612米,押1付3,6500,中楼层/6层,120,华兴园,中装
整租,距离地铁通州北苑585米,押2付3,3000,低楼层/6层,70,北苑55号院,精装
整租,距离地铁果园986米,押1付3,3700,高楼层/20层,50,长城国际,精装
整租,距离地铁果园986米,押2付3,3700,低楼层/20层,53,长城国际,中装
整租,距离地铁通州北苑279米,押2付3,7600,中楼层/28层,90,广通小区,精装
整租,距离地铁通州北苑510米,押2付3,5600,中楼层/24层,85,通典铭居,精装
整租,距离地铁果园986米,押2付3,3000,低楼层/22层,56,长城国际,中装
整租,距离地铁通州北苑456米,押2付3,3500,低楼层/6层,80,科印小区,精装
整租,距离地铁通州北苑304米,押2付3,4600,顶层/6层,85,新华西街145号院,中装
整租,距离地铁通州北苑598米,押1付3,3000,低楼层/7层,65,北苑乙55号院,精装
整租,距离地铁八里桥1116米,押2付3,4500,底层/6层,59.63,杨庄路73号,中装
合租,距离地铁通州北苑456米,押2付3,1800,低楼层/6层,12,科印小区,中装
整租,距离地铁通州北苑416米,押2付3,4300,中楼层/6层,65,新华西街131号院,精装
整租,距离地铁通州北苑279米,押2付3,6500,顶层/28层,90,广通小区,简装
整租,距离地铁通州北苑296米,押2付3,6200,高楼层/28层,106,天时名苑,精装
整租,距离地铁通州北苑279米,押2付3,6000,高楼层/28层,85,广通小区,精装
整租,距离地铁通州北苑710米,押2付3,5200,高楼层/6层,98.88,新华联锦园,精装
合租,距离地铁通州北苑296米,押2付3,2300,中楼层/28层,15,天时名苑,精装
整租,距离地铁通州北苑431米,押2付3,12000,底层/16层,55.45,郎峰,中装
整租,距离地铁通州北苑296米,押1付3,8500,低楼层/18层,137,天时名苑,精装
整租,距离地铁通州北苑431米,押2付3,6600,底层/13层,80,郎峰,精装
合租,距离地铁果园990米,押2付3,2000,高楼层/18层,15,世纪星城,精装
整租,距离地铁通州北苑296米,押2付3,8300,高楼层/28层,100,天时名苑,简装
整租,距离地铁通州北苑304米,押2付3,5000,低楼层/6层,82,新华西街145号院,精装
整租,距离地铁通州北苑585米,押2付3,3800,高楼层/6层,60,北苑55号院,中装
整租,距离地铁通州北苑296米,押2付3,6500,低楼层/13层,100,天时名苑,精装
整租,距离地铁通州北苑621米,押2付3,5100,低楼层/18层,101,通惠苑,精装
整租,距离地铁通州北苑480米,押2付3,5600,高楼层/6层,82,通州杨庄小区,中装
整租,距离地铁通州北苑296米,押2付3,5300,中楼层/28层,56,天时名苑,中装
整租,距离地铁通州北苑606米,押2付3,7500,高楼层/6层,130,鑫苑小区,精装
整租,距离地铁果园986米,押2付3,3800,中楼层/20层,65,长城国际,中装
整租,距离地铁通州北苑296米,押2付3,4800,高楼层/20层,70,天时名苑,精装
整租,距离地铁通州北苑621米,押1付3,3500,低楼层/18层,58,通惠苑,精装
整租,距离地铁果园990米,押1付3,5800,中楼层/26层,103,世纪星城,中装
整租,距离地铁果园986米,押2付3,3900,中楼层/20层,53,长城国际,中装
整租,距离地铁通州北苑510米,押2付3,5800,高楼层/24层,85,通典铭居,精装
合租,距离地铁通州北苑443米,押1付3,2100,高楼层/18层,20,万方家园,精装
整租,距离地铁果园990米,押2付3,8000,低楼层/18层,145,世纪星城,精装
整租,距离地铁通州北苑621米,押2付3,6000,顶层/18层,127,通惠苑,中装
整租,距离地铁果园986米,押2付3,3600,低楼层/15层,53,长城国际,精装
整租,距离地铁八里桥296米,押2付3,6000,低楼层/18层,80,竹木厂,中装
合租,距离地铁通州北苑296米,押2付3,2500,高楼层/28层,20,天时名苑,精装
整租,距离地铁八里桥673米,押2付3,9000,低楼层/23层,149,长桥园,中装
整租,距离地铁果园990米,押2付3,8500,中楼层/10层,127,世纪星城,中装
整租,距离地铁通州北苑612米,押1付3,4600,低楼层/6层,93.58,华兴园,简装
电话预约,距离地铁通州北苑480米,,3700,顶层/6层,70,通州杨庄小区,中装
整租,距离地铁通州北苑612米,押1付3,4800,高楼层/6层,89,华兴园,精装
整租,距离地铁通州北苑710米,押1付3,5500,顶层/6层,153,新华联锦园,精装
整租,距离地铁通州北苑612米,押2付3,5000,中楼层/6层,76,华兴园,中装
整租,距离地铁果园990米,押2付3,6200,低楼层/26层,104,世纪星城,精装
整租,距离地铁通州北苑585米,押2付3,4000,顶层/6层,75,北苑55号院,中装
整租,距离地铁八里桥673米,押1付3,7500,中楼层/15层,125,长桥园,精装
整租,距离地铁果园986米,押1付3,4000,中楼层/22层,50,长城国际,精装
整租,距离地铁郝家府747米,押1付3,1200,中楼层/20层,20,胡各庄,中装
整租,距离地铁果园986米,押2付3,3600,中楼层/20层,50,长城国际,精装
整租,距离地铁通州北苑612米,押2付3,5200,高楼层/6层,100,华兴园,精装
整租,距离地铁八里桥296米,押2付3,4200,高楼层/18层,87,竹木厂,中装
整租,距离地铁通州北苑443米,押2付3,7000,低楼层/18层,91.51,万方家园,精装
整租,距离地铁通州北苑443米,押2付3,6200,高楼层/20层,84,万方家园,精装
整租,距离地铁通州北苑507米,押2付3,6000,底层/6层,80,西果园小区,中装
整租,距离地铁通州北苑443米,押2付3,2000,中楼层/18层,20,万方家园,中装
整租,距离地铁八里桥340米,押1付12,15000,中楼层/30层,170,京贸国际公寓,豪装
整租,距离地铁通州北苑431米,押2付3,9000,高楼层/16层,140,郎峰,精装
整租,距离地铁果园986米,押2付3,3600,低楼层/22层,54,长城国际,精装
整租,距离地铁通州北苑510米,押2付3,5900,中楼层/24层,80,通典铭居,精装
整租,距离地铁果园990米,押1付3,6000,中楼层/26层,103,世纪星城,豪装
整租,距离地铁八里桥340米,押1付3,6000,底层/28层,73,京贸国际公寓,精装
合租,距离地铁果园986米,押2付3,3000,低楼层/20层,56,长城国际,精装
整租,距离地铁通州北苑279米,押2付3,6100,低楼层/28层,91,广通小区,精装
整租,距离地铁通州北苑612米,押2付3,2400,底层/6层,15,华兴园,简装
合租,距离地铁通州北苑704米,押2付3,1600,底层/6层,25,北苑15号院,中装
整租,距离地铁八里桥340米,押2付3,9000,中楼层/30层,170,京贸国际公寓,中装
合租,距离地铁通州北苑0米,押2付3,1800,底层/6层,15,通州北苑,精装
整租,距离地铁通州北苑704米,押2付3,3500,中楼层/6层,50,北苑15号院,中装
整租,距离地铁通州北苑296米,押1付3,20000,底层/28层,230,天时名苑,精装
整租,距离地铁通州北苑416米,押2付3,3800,中楼层/6层,80,新华西街131号院,精装
合租,距离地铁通州北苑710米,押2付3,2600,高楼层/6层,20,新华联锦园,精装
通州北苑,距离地铁通州北苑510米,押1付3,6000,中楼层/24层,93.46,通典铭居,其他
整租,距离地铁通州北苑416米,押2付3,5000,顶层/6层,80,新华西街131号院,中装
通州北苑,距离地铁通州北苑480米,押1付3,4200,低楼层/6层,67,通州杨庄小区,其他
通州北苑,距离地铁通州北苑507米,押1付3,4200,顶层/6层,68.47,西果园小区,其他
距离地铁通州北苑480米,距离地铁通州北苑480米,押1付3,1900,高楼层/6层,15,通州杨庄小区,合租
通州北苑,距离地铁通州北苑710米,押1付3,5500,顶层/6层,59.68,新华联锦园,其他
通州北苑,距离地铁果园986米,押1付3,4000,高楼层/22层,55,长城国际,其他
距离地铁通州北苑606米,距离地铁通州北苑606米,押1付3,2400,高楼层/6层,20,鑫苑小区,合租
距离地铁通州北苑606米,距离地铁通州北苑606米,押1付3,2000,高楼层/6层,15,鑫苑小区,合租
通州北苑,距离地铁通州北苑1224米,押1付3,3800,底层/6层,86.25,金海街36号院,其他
通州北苑,距离地铁通州北苑585米,押1付3,4400,中楼层/6层,60.7,北苑55号院,其他
通州北苑,距离地铁八里桥673米,押1付3,2100,中楼层/15层,18,长桥园,其他
通州北苑,距离地铁通州北苑279米,押1付3,8700,底层/28层,130.25,广通小区,其他
通州北苑,距离地铁通州北苑689米,押1付3,4600,高楼层/6层,56.13,八里桥南街52号,其他
通州北苑,距离地铁通州北苑710米,押1付3,6500,顶层/6层,76.93,新华联锦园,其他
距离地铁八里桥673米,距离地铁八里桥673米,押1付3,2200,中楼层/15层,16,长桥园,合租
通州北苑,距离地铁果园986米,押1付3,3900,中楼层/20层,48.55,长城国际,其他
距离地铁通州北苑431米,距离地铁通州北苑431米,押1付3,2100,中楼层/13层,12,郎峰,合租
通州北苑,距离地铁果园986米,押1付3,3850,中楼层/20层,50,长城国际,其他
距离地铁通州北苑431米,距离地铁通州北苑431米,押1付3,3600,中楼层/13层,18,郎峰,合租
通州北苑,距离地铁果园986米,押1付3,4000,中楼层/20层,52.73,长城国际,其他
距离地铁八里桥673米,距离地铁八里桥673米,押1付3,2600,中楼层/15层,18,长桥园,合租
距离地铁通州北苑431米,距离地铁通州北苑431米,押1付3,1900,中楼层/13层,12,郎峰,合租
整租,距离地铁通州北苑304米,押2付3,4200,中楼层/5层,65,新华西街145号院,简装
整租,距离地铁通州北苑163米,押2付3,4500,中楼层/6层,65,杨庄北街3号院,中装
整租,距离地铁通州北苑296米,押2付3,6800,高楼层/28层,100.6,天时名苑,精装
整租,距离地铁八里桥340米,押1付3,8100,低楼层/32层,150,京贸国际公寓,简装
整租,距离地铁通州北苑443米,押2付3,9800,中楼层/18层,150,万方家园,精装
整租,距离地铁通州北苑612米,押1付12,5500,中楼层/6层,80,华兴园,中装
整租,距离地铁通州北苑296米,押1付3,5000,低楼层/20层,68,天时名苑,精装
合租,距离地铁果园990米,押2付3,2000,顶层/18层,25,世纪星城,中装
整租,距离地铁通州北苑304米,押1付3,4400,底层/5层,64,新华西街145号院,中装
整租,距离地铁通州北苑304米,押2付3,4500,中楼层/5层,60,新华西街145号院,精装
整租,距离地铁通州北苑585米,押2付3,3800,低楼层/6层,80,北苑55号院,中装
通州北苑,距离地铁通州北苑431米,押1付3,7500,底层/16层,58,郎峰,其他
整租,距离地铁通州北苑296米,押2付3,6000,高楼层/28层,106,天时名苑,中装
通州北苑,距离地铁通州北苑1337米,押1付3,4800,低楼层/20层,100,西马庄,其他
通州北苑,距离地铁通州北苑1337米,押1付3,4000,高楼层/7层,70,西马庄,其他
通州北苑,距离地铁通州北苑568米,押1付3,4200,高楼层/6层,71.43,杨庄15号院,其他
通州北苑,距离地铁通州北苑127米,押1付3,3800,高楼层/6层,57.25,杨庄北街1号院,其他
通州北苑,距离地铁通州北苑456米,押1付3,3700,高楼层/6层,61.03,科印小区,其他
通州北苑,距离地铁通州北苑710米,押1付3,7800,中楼层/6层,140.72,新华联锦园,其他
距离地铁通州北苑710米,距离地铁通州北苑710米,押1付3,4600,中楼层/6层,93,新华联锦园,整租
通州北苑,距离地铁通州北苑237米,押1付3,3800,顶层/6层,65.93,杨庄北街7号院,其他
通州北苑,距离地铁通州北苑621米,押1付3,4000,底层/18层,52,通惠苑,其他
通州北苑,距离地铁通州北苑510米,押1付3,6800,低楼层/23层,150,通典铭居,其他
距离地铁通州北苑258米,距离地铁通州北苑258米,押1付3,2000,顶层/6层,10,芳洲花园,合租
通州北苑,距离地铁通州北苑480米,押1付3,3500,高楼层/6层,70,通州杨庄小区,其他
整租,距离地铁通州北苑568米,押2付3,3600,中楼层/6层,70,杨庄15号院,精装
整租,距离地铁八里桥296米,押2付3,4500,顶层/6层,90,竹木厂,简装
合租,距离地铁通州北苑443米,押2付3,2300,低楼层/18层,20,万方家园,中装
整租,距离地铁通州北苑237米,押2付3,4000,高楼层/6层,66,杨庄北街7号院,精装
整租,距离地铁八里桥340米,押1付3,2000,高楼层/30层,15,京贸国际公寓,精装
整租,距离地铁通州北苑568米,押2付3,4000,中楼层/6层,76,杨庄15号院,中装
合租,距离地铁通州北苑431米,押2付3,1200,低楼层/16层,10,郎峰,精装
整租,距离地铁八里桥296米,押2付3,4800,顶层/6层,80,竹木厂,精装
合租,距离地铁通州北苑443米,押2付3,2300,中楼层/18层,20,万方家园,精装
整租,距离地铁八里桥340米,押1付3,7500,高楼层/28层,125,京贸国际公寓,精装
整租,距离地铁果园990米,押2付3,8500,中楼层/12层,146,世纪星城,精装
合租,距离地铁通州北苑416米,押1付3,1300,顶层/6层,20,新华西街131号院,精装
整租,距离地铁通州北苑416米,押2付3,5000,高楼层/6层,90,新华西街131号院,中装
整租,距离地铁通州北苑237米,押2付3,4200,高楼层/6层,70,杨庄北街7号院,中装
通州北苑,距离地铁通州北苑1337米,押1付3,3800,低楼层/26层,90,西马庄,其他
通州北苑,距离地铁八里桥545米,押1付3,4300,中楼层/6层,80.17,八里桥南街11号,其他
通州北苑,距离地铁通州北苑296米,押1付3,6300,低楼层/28层,100,天时名苑,其他
通州北苑,距离地铁通州北苑279米,押1付3,8000,底层/28层,131.81,广通小区,其他
通州北苑,距离地铁通州北苑279米,押1付3,6100,顶层/28层,91,广通小区,其他
通州北苑,距离地铁通州北苑612米,押1付3,4500,顶层/6层,65.06,华兴园,其他
通州北苑,距离地铁通州北苑537米,押1付3,4200,高楼层/6层,69,杨庄路63号院,其他
距离地铁八里桥673米,距离地铁八里桥673米,押1付3,1500,中楼层/23层,12,长桥园,合租
距离地铁通州北苑431米,距离地铁通州北苑431米,押1付3,3100,中楼层/13层,12,郎峰,合租
通州北苑,距离地铁果园986米,押1付3,3500,低楼层/20层,53.31,长城国际,其他
通州北苑,距离地铁八里桥673米,押1付3,1400,中楼层/15层,15,长桥园,其他
距离地铁果园719米,距离地铁果园719米,押1付3,1750,中楼层/6层,13,复兴里西路31号院,合租
通州北苑,距离地铁果园986米,押1付3,4550,低楼层/20层,55,长城国际,其他
整租,距离地铁八里桥296米,押2付3,2700,中楼层/16层,40,竹木厂,中装
通州北苑,距离地铁通州北苑416米,押1付12,1800,顶层/6层,25,新华西街131号院,其他
整租,距离地铁通州北苑296米,押2付3,6500,顶层/28层,90,天时名苑,中装
整租,距离地铁八里桥296米,押2付3,3600,中楼层/8层,65,竹木厂,精装
整租,距离地铁通州北苑621米,押2付3,3400,高楼层/18层,56,通惠苑,中装
整租,距离地铁通州北苑585米,押2付3,4000,顶层/6层,65,北苑55号院,中装
整租,距离地铁通州北苑304米,押2付3,4200,底层/5层,50,新华西街145号院,中装
整租,距离地铁通州北苑296米,押2付3,9000,低楼层/28层,100,天时名苑,精装
整租,距离地铁八里桥673米,押2付3,4000,中楼层/15层,68,长桥园,精装
整租,距离地铁果园990米,押2付3,5800,中楼层/18层,99.26,世纪星城,中装
整租,距离地铁通州北苑296米,押2付3,5500,中楼层/29层,70.4,天时名苑,中装
整租,距离地铁果园986米,押1付3,4000,中楼层/22层,64,长城国际,中装
整租,距离地铁通州北苑296米,押2付3,6500,低楼层/28层,100,天时名苑,精装
