chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,,押2付3,4300,中楼层/16层,90,首开国风美仑,简装
合租,,押2付3,1350,低楼层/16层,20,首开国风美仑,简装
整租,,押2付3,5500,底层/16层,120,首开国风美仑,精装
整租,,押2付3,4800,低楼层/30层,89,润枫领尚小区,精装
整租,,押2付3,3700,中楼层/16层,77,首开国风美仑,精装
整租,,押2付3,3000,低楼层/15层,58.9,富力尚悦居B区,精装
整租,,押2付3,4000,中楼层/15层,90,富力尚悦居B区,精装
通州其它,,押1付3,4500,底层/17层,100.3,星悦国际,其他
整租,,押2付3,4000,低楼层/12层,146,宋庄当代艺术园,中装
整租,距离地铁九棵树754米,押2付3,55000,底层/3层,550,鲁能·格拉斯小镇,精装
整租,,押2付3,3000,低楼层/24层,88,环湖小镇,精装
整租,,押2付3,3000,高楼层/7层,90,环湖小镇,中装
整租,,押2付3,5000,底层/10层,203,首开香溪郡,毛坯
整租,,押2付3,3500,低楼层/19层,80,环湖小镇,简装
整租,,押1付3,11000,高楼层/6层,168.95,旭辉御锦,精装
整租,,押1付3,5000,低楼层/20层,155,环湖小镇,精装
整租,,押2付3,9000,中楼层/8层,198.47,旭辉御锦,精装
整租,,押2付3,4000,低楼层/22层,89,环湖小镇,精装
整租,,押2付3,3000,中楼层/20层,89,环湖小镇,精装
整租,,押2付3,34000,底层/4层,340,旭辉御锦,豪装
整租,,押2付3,5000,中楼层/10层,85,宋庄当代艺术园,豪装
整租,,押2付3,5000,中楼层/10层,85,宋庄当代艺术园,豪装
整租,,押1付3,12000,底层/6层,260,旭辉御锦,精装
整租,,押2付3,3400,中楼层/20层,55,润枫领尚小区,精装
整租,,押1付3,5800,底层/12层,120,润枫领尚小区,精装
整租,,押2付3,4000,中楼层/18层,88.02,润枫领尚小区,精装
整租,,押2付3,2500,中楼层/9层,50,旭辉御锦,精装
整租,,押2付3,4300,中楼层/6层,90,首开缇香郡,中装
整租,,押2付3,3200,高楼层/20层,102,环湖小镇,中装
整租,,押2付3,2500,低楼层/6层,47,首开缇香郡,中装
整租,,押2付3,24000,中楼层/6层,255,融科千章墅,精装
整租,,押2付3,3100,中楼层/21层,60,环湖小镇,简装
整租,,押1付3,4800,中楼层/11层,110,定海园一里,中装
整租,,押2付3,12000,底层/6层,188,旭辉御锦,毛坯
整租,,押2付3,20000,中楼层/6层,202,旭辉御锦,毛坯
整租,,押1付3,3100,高楼层/18层,90,环湖小镇,精装
整租,,押2付3,3500,高楼层/7层,87,环湖小镇,精装
整租,,押2付3,4100,高楼层/10层,74,定海园一里,简装
整租,,押2付3,4500,底层/11层,107,定海园一里,中装
整租,,押1付3,4000,顶层/7层,93,首开香溪郡,中装
整租,,押2付3,3000,中楼层/7层,80,环湖小镇,精装
整租,,押2付3,5000,高楼层/16层,89,首开国风美仑,精装
整租,,押2付3,8000,中楼层/6层,180,旭辉御锦,精装
整租,,押2付3,3200,顶层/5层,50,冷冻厂宿舍,精装
整租,,押1付3,4200,高楼层/16层,80,首开国风美仑,精装
整租,距离地铁次渠1404米,押2付3,3200,高楼层/6层,58,次渠北里,精装
整租,,押1付3,3800,低楼层/16层,73,首开国风美仑,精装
整租,,押2付3,4600,高楼层/16层,93,首开国风美仑,精装
整租,,押2付3,2500,中楼层/6层,70,环湖小镇,简装
通州其它,,押1付3,5700,中楼层/11层,89.37,珠江四季悦城,其他
整租,距离地铁北运河东222米,押2付3,4000,高楼层/21层,92,紫运南里,简装
通州其它,,押1付3,3500,中楼层/6层,80,首开香溪郡,其他
通州其它,距离地铁果园1302米,押1付3,2000,低楼层/6层,45,旭辉丽舍,其他
通州其它,,押1付3,5500,低楼层/16层,90.65,珠江四季悦城,其他
通州其它,,押1付3,5500,中楼层/10层,94.05,珠江四季悦城,其他
整租,,押1付3,6000,底层/18层,160,首开香溪郡,毛坯
整租,,押2付3,3000,低楼层/20层,80,首开香溪郡,精装
整租,,押2付3,4000,高楼层/8层,102,首开香溪郡,精装
整租,,押2付3,3500,底层/11层,83,首开香溪郡,精装
整租,,押2付3,3500,中楼层/11层,81,首开香溪郡,毛坯
整租,,押2付3,3500,中楼层/6层,117,首开香溪郡,毛坯
整租,,押1付3,4800,高楼层/11层,100,定海园一里,精装
整租,,押1付3,4800,顶层/8层,105,首开香溪郡,精装
整租,,押2付3,3500,高楼层/11层,74,定海园一里,中装
整租,,押2付3,3800,低楼层/15层,90,首开香溪郡,中装
整租,,押1付3,28000,底层/4层,396,融科千章墅,精装
整租,距离地铁东夏园1342米,押2付3,3300,中楼层/6层,88,大营村,精装
整租,,押2付3,5100,中楼层/11层,108,定海园一里,中装
整租,,押2付3,3800,高楼层/11层,77,定海园一里,精装
整租,,押2付3,4200,低楼层/18层,87.6,紫运西里,精装
整租,,押2付3,8000,低楼层/4层,210,首开缇香郡,精装
通州其它,,押1付3,3500,中楼层/6层,90.21,首开香溪郡,其他
整租,,押1付3,11000,高楼层/6层,168.5,旭辉御锦,毛坯
通州其它,,押1付3,3200,高楼层/10层,65.57,珠江四季悦城,其他
通州其它,,押1付3,4100,高楼层/6层,87.38,润枫领尚小区,其他
整租,距离地铁北运河东222米,押1付3,4000,高楼层/21层,88,紫运南里,中装
整租,,押2付3,3000,低楼层/7层,87,环湖小镇,中装
整租,,押2付3,3000,底层/30层,90,环湖小镇,中装
整租,距离地铁北运河东222米,押2付3,4300,中楼层/25层,90,紫运南里,精装
