chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁土桥944米,押1付3,2500,中楼层/18层,35,高楼金第,精装
整租,距离地铁土桥944米,押2付3,2800,顶层/29层,40,高楼金第,中装
整租,距离地铁土桥944米,押2付3,3000,高楼层/19层,40,高楼金第,精装
整租,距离地铁土桥944米,押2付3,4300,高楼层/27层,95,高楼金第,精装
整租,距离地铁土桥944米,押1付3,2700,高楼层/29层,40,高楼金第,精装
整租,,押2付3,3300,顶层/22层,55,通和园,精装
整租,,押2付3,3500,中楼层/6层,80,太玉园小区,精装
整租,距离地铁土桥944米,押1付3,2500,低楼层/18层,35,高楼金第,中装
整租,距离地铁土桥944米,押1付3,4300,高楼层/18层,98,高楼金第,精装
整租,距离地铁土桥1167米,押1付3,2700,高楼层/11层,60,欣桥家园东区,精装
整租,距离地铁土桥944米,押2付3,4300,中楼层/18层,98,高楼金第,精装
整租,距离地铁土桥1167米,押2付3,3800,顶层/11层,90,欣桥家园西区,中装
整租,,押2付3,3800,中楼层/29层,86,通和园,精装
整租,距离地铁土桥1167米,押1付3,3500,顶层/6层,87,欣桥家园东区,精装
整租,距离地铁土桥1167米,押2付3,3800,高楼层/6层,80,欣桥家园西区,中装
整租,,押2付3,3600,中楼层/29层,89,通和园,简装
整租,距离地铁土桥944米,押2付3,2600,中楼层/20层,33,高楼金第,精装
整租,距离地铁土桥944米,押2付3,3000,顶层/19层,40,高楼金第,中装
整租,距离地铁土桥944米,押1付3,2600,高楼层/20层,40,高楼金第,精装
整租,距离地铁土桥944米,押2付3,2600,低楼层/27层,35,高楼金第,中装
整租,距离地铁土桥944米,押2付3,3000,中楼层/27层,40,高楼金第,精装
整租,距离地铁土桥944米,押2付3,2500,低楼层/27层,39,高楼金第,精装
整租,距离地铁土桥944米,押2付3,2500,中楼层/18层,38,高楼金第,中装
整租,距离地铁土桥944米,押2付3,3500,低楼层/20层,65,高楼金第,精装
整租,距离地铁土桥944米,押2付3,2600,高楼层/29层,40,高楼金第,简装
整租,距离地铁土桥944米,押2付3,2300,低楼层/20层,31,高楼金第,中装
整租,距离地铁土桥944米,押2付3,3500,高楼层/20层,61,高楼金第,中装
整租,距离地铁土桥944米,押2付3,2800,顶层/29层,50,高楼金第,精装
整租,距离地铁土桥1167米,押2付3,3600,顶层/6层,78,欣桥家园西区,精装
整租,,押2付3,3500,顶层/6层,90,太玉园小区,中装
整租,距离地铁土桥944米,押2付3,2800,中楼层/18层,40,高楼金第,精装
整租,距离地铁土桥944米,押1付3,4000,低楼层/29层,80,高楼金第,中装
整租,距离地铁土桥944米,押2付3,2900,低楼层/18层,40,高楼金第,精装
整租,距离地铁土桥944米,押1付3,3200,底层/20层,40,高楼金第,精装
整租,距离地铁土桥944米,押2付3,4600,低楼层/18层,95,高楼金第,精装
整租,,押2付3,3200,高楼层/7层,90,太玉园小区,中装
整租,,押2付3,15000,顶层/2层,260,太玉园小区,精装
整租,距离地铁土桥944米,押2付3,3000,底层/27层,40,高楼金第,精装
整租,距离地铁土桥944米,押2付3,4500,高楼层/29层,80,高楼金第,精装
整租,距离地铁土桥944米,押2付3,2600,低楼层/29层,40,高楼金第,精装
整租,距离地铁土桥944米,押2付3,3400,底层/20层,65,高楼金第,中装
整租,,押1付3,4200,中楼层/22层,88,通和园,精装
整租,距离地铁土桥944米,押1付3,2500,高楼层/20层,32,高楼金第,精装
整租,距离地铁土桥944米,押2付3,2800,高楼层/27层,40,高楼金第,豪装
整租,距离地铁土桥944米,押2付3,2500,低楼层/27层,40,高楼金第,中装
整租,,押2付3,2800,顶层/6层,55,太玉园小区,精装
整租,距离地铁土桥581米,押1付3,20000,底层/6层,334,金隅78墅,精装
整租,距离地铁土桥510米,押2付3,5600,高楼层/23层,89.01,金隅香溪家园,精装
整租,,押2付3,3400,中楼层/12层,75,太玉园小区,精装
整租,距离地铁土桥944米,押2付3,4100,低楼层/27层,96,高楼金第,精装
整租,距离地铁土桥1167米,押1付3,4000,顶层/11层,80,欣桥家园东区,精装
整租,距离地铁土桥944米,押1付3,2200,高楼层/19层,32,高楼金第,中装
整租,距离地铁土桥944米,押2付3,2600,高楼层/19层,40,高楼金第,精装
整租,距离地铁土桥944米,押2付3,3500,高楼层/19层,60,高楼金第,豪装
土桥,距离地铁土桥1167米,押1付3,2600,高楼层/6层,52.66,欣桥家园西区,其他
整租,距离地铁土桥944米,押2付3,2500,中楼层/29层,50,高楼金第,精装
,,押1付3,3400,低楼层/26层,78,太玉园小区,整租
土桥,距离地铁土桥1167米,押1付3,3200,中楼层/11层,70,欣桥家园东区,其他
土桥,距离地铁土桥510米,押1付3,7300,中楼层/20层,123.43,金隅香溪家园,其他
,,押1付3,3600,中楼层/25层,80,太玉园小区,整租
土桥,距离地铁土桥944米,押1付3,2500,顶层/27层,40,高楼金第,其他
土桥,距离地铁土桥944米,押1付3,3600,低楼层/18层,61.79,高楼金第,其他
整租,距离地铁土桥944米,押2付3,3000,中楼层/19层,40,高楼金第,中装
整租,距离地铁土桥944米,押1付3,4500,低楼层/18层,100,高楼金第,精装
土桥,,押1付3,3400,高楼层/6层,92.05,太玉园小区,其他
整租,,押2付3,10000,底层/3层,260,芳草园,中装
整租,距离地铁土桥944米,押2付3,3000,顶层/29层,40,高楼金第,精装
整租,距离地铁土桥944米,押1付3,7200,中楼层/19层,147,高楼金第,精装
整租,距离地铁土桥944米,押2付3,3000,高楼层/27层,40,高楼金第,精装
整租,距离地铁土桥944米,押2付3,5000,低楼层/18层,100,高楼金第,中装
整租,距离地铁土桥944米,押1付3,2700,底层/20层,40,高楼金第,中装
整租,,押2付3,3900,中楼层/6层,120,太玉园小区,中装
整租,距离地铁土桥944米,押2付3,2600,顶层/20层,40,高楼金第,精装
合租,距离地铁土桥944米,押2付3,2000,高楼层/25层,20,高楼金第,精装
整租,距离地铁土桥944米,押2付3,2800,低楼层/20层,40,高楼金第,中装
整租,距离地铁土桥944米,押2付3,2500,中楼层/27层,40,高楼金第,中装
整租,距离地铁土桥944米,押2付3,2500,低楼层/18层,40,高楼金第,精装
整租,距离地铁土桥944米,押1付3,2600,低楼层/20层,32,高楼金第,精装
整租,,押1付3,2600,底层/6层,65,太玉园小区,中装
整租,距离地铁土桥944米,押2付3,4200,底层/27层,90,高楼金第,中装
整租,距离地铁土桥1167米,押1付3,3000,低楼层/12层,75,欣桥家园西区,中装
整租,距离地铁土桥1167米,押2付3,5500,中楼层/6层,115,欣桥家园西区,中装
整租,距离地铁土桥581米,押1付3,10000,高楼层/6层,250,金隅78墅,毛坯
整租,距离地铁土桥1167米,押2付3,3600,中楼层/12层,60,欣桥家园西区,中装
整租,,押2付3,2500,顶层/6层,66,太玉园小区,精装
整租,距离地铁土桥1167米,押2付3,3000,高楼层/7层,53,欣桥家园西区,中装
整租,,押2付3,1900,低楼层/18层,50,太玉园小区,简装
整租,,押2付3,2800,顶层/6层,59,太玉园小区,精装
整租,,押2付3,3300,高楼层/6层,92,太玉园小区,中装
整租,,押2付3,3300,高楼层/6层,92,太玉园小区,中装
整租,,押2付3,3600,高楼层/8层,102,祥和乐园小区,中装
合租,,押1付3,1000,高楼层/6层,92,太玉园小区,中装
整租,,押2付3,2500,顶层/7层,67,太玉园小区,中装
整租,,押1付3,3600,低楼层/6层,90,太玉园小区,简装
整租,距离地铁土桥944米,押2付3,3500,中楼层/27层,60,高楼金第,豪装
整租,距离地铁土桥944米,押2付3,2600,高楼层/29层,39,高楼金第,精装
整租,,押2付3,3100,低楼层/22层,60,通和园,精装
整租,距离地铁土桥1167米,押2付3,3000,中楼层/6层,98,欣桥家园西区,中装
整租,,押2付3,7500,底层/1层,65.8,太玉园小区,中装
整租,距离地铁土桥944米,押2付3,2800,低楼层/19层,45,高楼金第,精装
整租,距离地铁土桥944米,押2付3,2700,中楼层/27层,50,高楼金第,精装
整租,距离地铁土桥944米,押2付3,2900,中楼层/27层,40,高楼金第,中装
整租,,押2付3,1900,低楼层/29层,23,通和园,精装
整租,距离地铁土桥944米,押2付3,2500,高楼层/27层,40,高楼金第,中装
整租,,押2付3,4500,低楼层/22层,87,通和园,精装
整租,,押2付3,2500,低楼层/28层,40,太玉园小区,中装
整租,距离地铁土桥944米,押2付3,2900,高楼层/19层,40,高楼金第,精装
整租,距离地铁土桥510米,押2付3,25000,高楼层/6层,280,金隅香溪家园,精装
整租,距离地铁土桥944米,押2付3,4000,底层/27层,95,高楼金第,中装
整租,,押2付3,4300,高楼层/29层,95,通和园,中装
整租,距离地铁土桥944米,押2付3,2800,低楼层/19层,39,高楼金第,精装
整租,距离地铁土桥944米,押2付3,2700,低楼层/29层,33,高楼金第,精装
整租,距离地铁土桥944米,押2付3,2500,高楼层/27层,42,高楼金第,精装
