chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁北运河西1406米,押1付3,3500,底层/12层,65,加华印象,中装
整租,,押1付3,3800,低楼层/35层,60,京贸国际城西区,中装
整租,距离地铁北运河西1406米,押2付3,3500,中楼层/12层,70,加华印象,中装
整租,距离地铁北运河西843米,押1付3,5000,高楼层/28层,110,武夷花园荔景园,中装
整租,,押2付3,3800,中楼层/35层,67,京贸国际城西区,精装
整租,,押2付3,6000,顶层/35层,93,京贸国际城西区,精装
整租,距离地铁北运河西1308米,押2付3,4000,中楼层/28层,75,河畔丽景,精装
整租,,押1付3,4500,中楼层/35层,80.39,京贸国际城西区,简装
整租,,押2付3,3400,低楼层/17层,64,武夷花园月季园,精装
整租,距离地铁通州北关1477米,押2付3,3800,顶层/11层,58,月亮河城堡,精装
整租,距离地铁北运河西1105米,押2付3,5600,中楼层/20层,90,K2百合湾东区,精装
整租,,押2付3,4000,低楼层/30层,74.94,京贸国际城东区,精装
整租,距离地铁北运河西1105米,押1付3,5500,低楼层/20层,83,K2百合湾东区,精装
整租,,押2付3,8200,低楼层/35层,141,京贸国际城西区,精装
整租,距离地铁北运河西1406米,押1付3,5800,低楼层/12层,137,加华印象,精装
整租,距离地铁北运河西843米,押2付3,5500,高楼层/28层,110,武夷花园荔景园,精装
整租,距离地铁北运河西1406米,押2付3,4500,中楼层/12层,98,加华印象,精装
整租,,押2付3,4200,高楼层/26层,75,京贸国际城东区,中装
整租,,押2付3,4800,高楼层/35层,95,京贸国际城西区,中装
整租,距离地铁通州北关1477米,押2付3,7000,中楼层/11层,135,月亮河城堡,精装
整租,距离地铁北运河西1406米,押2付3,4000,高楼层/12层,75,加华印象,中装
整租,距离地铁通州北关1477米,押1付6,3600,顶层/11层,58,月亮河城堡,精装
整租,距离地铁北运河西1308米,押2付3,3500,高楼层/20层,60,河畔丽景,简装
整租,距离地铁通州北关1477米,押1付3,3700,高楼层/11层,58,月亮河城堡,精装
整租,距离地铁通州北关1477米,押1付3,20000,高楼层/9层,240,月亮河城堡,豪装
整租,距离地铁通州北关1477米,押2付3,3800,低楼层/11层,58,月亮河城堡,精装
整租,距离地铁北运河西1308米,押2付3,4500,中楼层/6层,64,河畔丽景,精装
整租,距离地铁通州北关1477米,押1付3,3500,高楼层/12层,58.27,月亮河城堡,精装
整租,,押2付3,4500,顶层/37层,85,京贸国际城西区,中装
整租,距离地铁北运河西1308米,押1付3,4000,低楼层/28层,60,河畔丽景,精装
整租,距离地铁通州北关1477米,押1付3,5600,顶层/11层,102,月亮河城堡,精装
整租,,押2付3,4800,高楼层/29层,90,京贸国际城东区,中装
整租,距离地铁北运河西1308米,押2付3,4700,低楼层/28层,97,河畔丽景,中装
整租,距离地铁北运河西1489米,押2付3,4500,底层/6层,57,三元村,精装
整租,,押2付3,6000,低楼层/6层,124,武夷花园紫荆雅园,精装
整租,,押2付3,5000,中楼层/35层,92,京贸国际城西区,精装
整租,,押2付3,5000,低楼层/35层,88,京贸国际城西区,精装
整租,,押2付3,4600,高楼层/35层,75,京贸国际城西区,精装
整租,,押1付3,5000,中楼层/35层,90,京贸国际城西区,精装
整租,距离地铁北运河西1406米,押2付3,4700,中楼层/12层,90,加华印象,中装
整租,距离地铁北运河西1489米,押2付3,4000,顶层/6层,64,三元村,精装
整租,距离地铁北运河西1489米,押2付3,4200,低楼层/6层,87,三元村,精装
整租,距离地铁北运河西843米,押2付3,3500,低楼层/30层,65,武夷花园荔景园,精装
整租,距离地铁北运河西1065米,押2付3,4500,低楼层/6层,93,运河园,中装
整租,距离地铁北运河西1406米,押2付3,4800,高楼层/12层,100,加华印象,精装
整租,距离地铁北运河西1308米,押2付3,3800,顶层/28层,63.93,河畔丽景,精装
整租,距离地铁北运河西1308米,押2付3,6500,中楼层/6层,110,河畔丽景,中装
整租,,押1付3,4200,中楼层/30层,75,京贸国际城东区,中装
整租,,押2付3,6500,中楼层/35层,139,京贸国际城西区,简装
整租,距离地铁北运河西843米,押2付3,3500,高楼层/28层,70,武夷花园荔景园,简装
整租,距离地铁北运河西843米,押2付3,4000,中楼层/28层,88,武夷花园荔景园,精装
整租,,押2付3,4000,低楼层/29层,75,京贸国际城东区,中装
整租,,押2付3,3500,高楼层/17层,62,武夷花园月季园,精装
整租,距离地铁北运河西1406米,押2付3,8000,高楼层/12层,200,加华印象,精装
整租,距离地铁通州北关1477米,押1付3,6000,顶层/12层,75,月亮河城堡,精装
整租,距离地铁通州北关1477米,押1付3,15000,低楼层/9层,230,月亮河城堡,精装
整租,,押1付3,4500,顶层/6层,98.73,武夷花园紫荆雅园,精装
整租,距离地铁通州北关1477米,押1付3,3500,低楼层/11层,58,月亮河城堡,精装
整租,,押2付3,10000,中楼层/35层,117,京贸国际城西区,豪装
整租,,押2付3,4600,顶层/6层,90,水恋晶城,中装
整租,距离地铁北运河西1065米,押1付3,3500,顶层/6层,74.14,运河园,中装
整租,,押1付3,6000,低楼层/35层,92,京贸国际城西区,豪装
整租,距离地铁北运河西1105米,押2付3,5500,中楼层/20层,81,K2百合湾东区,精装
整租,距离地铁北运河西843米,押2付3,4500,中楼层/30层,88,武夷花园荔景园,精装
合租,距离地铁北运河西1406米,押1付3,2800,底层/12层,20,加华印象,中装
整租,距离地铁北运河西1406米,押2付3,6500,高楼层/12层,137,加华印象,精装
整租,,押1付3,4600,低楼层/35层,90,京贸国际城西区,精装
整租,距离地铁通州北关1477米,押1付3,4000,高楼层/11层,58,月亮河城堡,精装
整租,,押2付3,5200,低楼层/6层,110,武夷花园紫荆雅园,中装
整租,,押1付3,3500,高楼层/25层,74,武夷花园月季园,中装
