chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁通州北苑1287米,押2付3,3800,中楼层/6层,70,永顺南里2号院,中装
合租,距离地铁果园1093米,押2付3,1750,低楼层/6层,18,后南仓,中装
合租,距离地铁北运河西1109米,押2付3,3000,中楼层/35层,25,富力运河十号,中装
整租,距离地铁九棵树1250米,押1付3,4500,中楼层/6层,83,东方化工厂生活区,精装
整租,距离地铁北运河西1473米,押2付3,4000,中楼层/6层,80,东顺城街7号,中装
整租,距离地铁通州北苑565米,押2付3,4200,顶层/6层,75,通惠南路小区,中装
整租,距离地铁九棵树1122米,押2付3,3500,底层/6层,60,玉带河东街385号,中装
整租,距离地铁通州北苑565米,押1付3,3800,顶层/6层,67.82,通惠南路小区,中装
整租,距离地铁通州北苑939米,押1付3,4500,高楼层/22层,50,帅府园二期,精装
整租,距离地铁通州北关1373米,押2付3,7000,高楼层/31层,150,北京ONE,中装
整租,距离地铁通州北苑723米,押2付3,4000,中楼层/6层,70,帅府园,精装
整租,距离地铁九棵树1425米,押2付3,5000,高楼层/6层,110,潞河名苑,精装
整租,距离地铁通州北苑1287米,押2付3,3800,高楼层/6层,60,永顺南里2号院,中装
整租,距离地铁九棵树1425米,押2付3,4200,高楼层/15层,58,潞河名苑,中装
整租,距离地铁北运河西1121米,押1付3,5500,顶层/6层,132,新华小区,精装
整租,距离地铁通州北关1373米,押2付3,8000,低楼层/31层,120,北京ONE,中装
整租,距离地铁北运河西813米,押2付3,4000,顶层/6层,68,西上园小区,中装
整租,距离地铁北运河西813米,押2付3,3600,顶层/6层,68,西上园小区,中装
整租,距离地铁通州北苑735米,押2付3,3400,底层/6层,53,复兴北里,精装
整租,距离地铁九棵树1489米,押2付3,3800,中楼层/6层,68,东营前街,精装
整租,距离地铁通州北苑1191米,押2付3,5000,中楼层/11层,100,在水一方,精装
整租,距离地铁通州北苑565米,押2付3,5000,底层/6层,70,通惠南路小区,中装
整租,,押2付3,4000,中楼层/6层,80,中仓小区,中装
整租,距离地铁北运河西813米,押2付3,4000,底层/6层,102,西上园小区,中装
整租,距离地铁通州北关1373米,押2付3,7500,低楼层/36层,130,北京ONE,精装
整租,距离地铁通州北苑1191米,押2付3,5000,高楼层/11层,113,在水一方,精装
整租,距离地铁北运河西813米,押1付3,5500,底层/7层,104,西上园小区,精装
整租,距离地铁通州北苑723米,押2付3,4000,顶层/6层,62,帅府园,中装
整租,距离地铁通州北苑1287米,押2付3,3600,中楼层/6层,65,永顺南里2号院,精装
整租,距离地铁北运河西813米,押2付3,4300,低楼层/7层,80,西上园小区,中装
整租,距离地铁通州北关839米,押2付3,5200,顶层/6层,110,永顺南里1号院,中装
整租,距离地铁北运河西813米,押2付3,4300,底层/7层,89,西上园小区,精装
整租,距离地铁通州北苑723米,押2付3,4000,高楼层/6层,75,帅府园,精装
整租,距离地铁果园1130米,押2付3,4400,底层/6层,77,玉带河西街,中装
整租,距离地铁通州北苑735米,押2付3,4300,中楼层/7层,60,中山大街,简装
整租,距离地铁通州北关839米,押2付3,4000,高楼层/6层,98,永顺南里1号院,精装
整租,距离地铁果园558米,押2付3,3600,高楼层/6层,55,达富雅园,精装
整租,距离地铁通州北苑735米,押2付3,4000,中楼层/6层,62,中山大街,中装
整租,距离地铁北运河西813米,押2付3,3500,顶层/6层,60,西上园小区,中装
整租,距离地铁通州北苑813米,押1付3,5500,底层/18层,94,逸秀名园,简装
整租,距离地铁通州北苑565米,押2付3,4000,中楼层/6层,70,通惠南路小区,精装
整租,距离地铁通州北苑565米,押2付3,4500,底层/5层,70,通惠南路小区,中装
整租,距离地铁梨园1033米,押2付3,4000,高楼层/21层,80,荟萃园,精装
整租,距离地铁通州北苑939米,押2付3,4800,中楼层/22层,50,帅府园二期,精装
整租,距离地铁九棵树1489米,押2付3,3500,低楼层/6层,60.2,东营前街,中装
整租,距离地铁果园1093米,押2付3,3700,高楼层/6层,60,后南仓,精装
整租,距离地铁通州北苑735米,押2付3,4000,顶层/6层,81,复兴北里,精装
