chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁梨园670米,押2付3,5000,低楼层/3层,96.88,格兰晴天,精装
整租,距离地铁梨园872米,押2付3,8500,低楼层/29层,150,远洋东方公馆,精装
整租,距离地铁梨园1340米,押2付3,3300,中楼层/6层,62.64,玉桥南里,简装
整租,距离地铁梨园1340米,押2付3,5000,中楼层/6层,104,玉桥南里,中装
整租,距离地铁北运河西1341米,押1付12,5500,高楼层/12层,142,京艺天朗,精装
整租,距离地铁临河里1366米,押2付3,4600,中楼层/12层,90,景馨家园,精装
整租,,押2付3,4500,顶层/6层,68,幸福艺居,精装
整租,距离地铁梨园1340米,押2付3,3500,低楼层/6层,80,玉桥南里,精装
整租,,押2付3,2900,高楼层/7层,60,幸福艺居,精装
整租,距离地铁梨园1340米,押2付3,3000,顶层/6层,55,玉桥南里,精装
整租,,押2付3,6500,低楼层/18层,99,合生滨江帝景,精装
整租,距离地铁梨园1340米,押2付3,4000,中楼层/6层,85,玉桥南里,中装
整租,距离地铁梨园872米,押2付3,7500,底层/14层,136,远洋东方公馆,豪装
整租,,押2付3,3450,高楼层/6层,52,幸福艺居,精装
整租,,押2付3,4700,低楼层/7层,80.29,幸福艺居,中装
整租,距离地铁梨园1340米,押2付3,5000,底层/6层,90,玉桥南里,精装
整租,,押2付3,3300,高楼层/12层,50,玉桥东里,精装
整租,距离地铁北运河西1341米,押2付3,5000,高楼层/6层,87,京艺天朗,豪装
整租,距离地铁梨园495米,押2付3,4200,顶层/6层,84,玉桥西里小区,精装
整租,距离地铁梨园1012米,押2付3,3500,高楼层/11层,67,柳岸方园,中装
整租,距离地铁北运河西1371米,押2付3,4800,中楼层/15层,90,欣艺景园,中装
整租,距离地铁临河里1366米,押2付3,4800,底层/18层,90.02,景馨家园,中装
整租,距离地铁梨园495米,押2付3,5800,高楼层/6层,98,玉桥西里小区,简装
整租,,押1付3,9000,底层/27层,200,合生滨江帝景,精装
整租,距离地铁北运河西1341米,押2付3,3000,中楼层/12层,52,京艺天朗,简装
整租,,押2付3,5800,低楼层/27层,90,合生滨江帝景,豪装
整租,,押2付3,3900,高楼层/7层,90,幸福艺居,精装
整租,,押2付3,3600,底层/7层,70,幸福艺居,简装
整租,距离地铁梨园1340米,押2付3,4500,顶层/6层,118,玉桥南里,精装
整租,,押2付3,3500,中楼层/6层,85,源泉苑,简装
整租,,押2付3,3800,低楼层/7层,70,幸福艺居,中装
整租,距离地铁梨园724米,押1付12,3200,中楼层/6层,87,公路局家属楼,精装
整租,距离地铁梨园724米,押1付3,3500,顶层/6层,90,公路局家属楼,精装
整租,,押2付3,6500,低楼层/18层,99,合生滨江帝景,精装
整租,距离地铁梨园1340米,押2付3,3500,高楼层/6层,75,玉桥南里,简装
整租,,押2付3,3800,顶层/6层,73,玉桥东里,中装
整租,距离地铁梨园1340米,押1付3,3800,底层/6层,72,玉桥南里,精装
整租,距离地铁梨园1340米,押2付3,2800,顶层/6层,59,玉桥南里,中装
整租,,押2付3,12000,底层/18层,155,合生滨江帝景,中装
整租,距离地铁北运河西1414米,押2付3,3500,低楼层/5层,50,美然百度城,精装
整租,距离地铁梨园1340米,押2付3,3800,中楼层/6层,85,玉桥南里,中装
整租,距离地铁梨园1340米,押2付3,4500,中楼层/6层,94,玉桥南里,中装
整租,,押2付3,3500,高楼层/12层,50,玉桥东里,中装
整租,,押2付3,3200,高楼层/24层,50,玉桥东里,精装
整租,距离地铁北运河西1341米,押2付3,2700,中楼层/12层,52,京艺天朗,中装
整租,,押2付3,3300,中楼层/12层,55,玉桥东里,中装
整租,,押2付3,5000,中楼层/7层,92,幸福艺居,中装
整租,,押1付3,5600,中楼层/18层,92,合生滨江帝景,精装
整租,距离地铁梨园495米,押2付3,4500,中楼层/6层,98.27,玉桥西里小区,精装
距离地铁北运河西1341米,距离地铁北运河西1341米,押1付3,2100,底层/12层,20,京艺天朗,合租
玉桥,距离地铁梨园1061米,押1付3,5400,低楼层/19层,123.41,紫光花园,其他
玉桥,距离地铁梨园495米,押1付3,5700,中楼层/6层,96.22,玉桥西里小区,其他
玉桥,,押1付3,3500,高楼层/12层,50,玉桥东里,其他
玉桥,,押1付3,3000,底层/6层,51.22,幸福艺居,其他
距离地铁梨园495米,距离地铁梨园495米,押1付3,1500,顶层/6层,13,玉桥西里小区,合租
玉桥,,押1付3,4700,底层/7层,80.29,幸福艺居,其他
距离地铁北运河西1414米,距离地铁北运河西1414米,押1付3,1700,底层/9层,14,美然百度城,合租
玉桥,距离地铁北运河西1341米,押1付3,2800,底层/12层,51.77,京艺天朗,其他
玉桥,,押1付3,3900,底层/6层,83.57,幸福艺居,其他
玉桥,,押1付3,4700,高楼层/18层,71.94,玉桥东里,其他
整租,距离地铁梨园724米,押1付3,3500,顶层/6层,90,公路局家属楼,精装
距离地铁北运河西1414米,距离地铁北运河西1414米,押1付3,2200,底层/9层,18,美然百度城,合租
距离地铁北运河西1414米,距离地铁北运河西1414米,押1付3,1700,底层/9层,14,美然百度城,合租
距离地铁北运河西1414米,距离地铁北运河西1414米,押1付3,1900,底层/9层,16,美然百度城,合租
玉桥,距离地铁梨园670米,押1付3,4200,中楼层/6层,91.05,格兰晴天,其他
整租,距离地铁梨园1340米,押2付3,3000,顶层/6层,60,玉桥南里,精装
距离地铁北运河西1341米,距离地铁北运河西1341米,押1付3,2600,低楼层/12层,52,京艺天朗,整租
