chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁花梨坎607米,押1付3,3300,中楼层/11层,45,蓝星花园,中装
整租,距离地铁花梨坎461米,押2付3,6500,底层/9层,102,空港吉祥花园,精装
整租,,押2付3,6000,中楼层/6层,94,三山新新家园一、二区,中装
整租,距离地铁后沙峪993米,押2付3,5500,低楼层/10层,85,江山赋,精装
整租,距离地铁后沙峪1015米,押2付3,6500,底层/6层,100,双裕小区,精装
整租,距离地铁后沙峪993米,押1付3,15000,中楼层/8层,149.56,江山赋,精装
整租,,押1付3,3500,中楼层/4层,60,三山新新家园四区,精装
整租,,押2付3,5200,高楼层/11层,97,观林阁,中装
整租,距离地铁后沙峪1278米,押2付3,6500,高楼层/10层,93,明德家园,精装
整租,,押2付3,4000,中楼层/6层,75,裕祥花园,精装
整租,,押2付3,22000,中楼层/14层,175,中粮祥云国际生活区,精装
整租,,押2付3,7500,底层/3层,109.03,万科城市花园玉兰园,精装
随时看房,,,4000,底层/11层,60,观林阁,精装
整租,,押2付3,7000,中楼层/6层,140,清岚花园,精装
整租,,押2付3,30000,高楼层/14层,179,中粮祥云国际生活区,豪装
整租,,押2付3,4500,顶层/6层,100,清岚花园回民营一区,中装
整租,,押2付3,5500,高楼层/6层,137,清岚花园回民营一区,中装
整租,,押2付3,7000,低楼层/12层,93.64,智地香蜜湾,精装
整租,距离地铁后沙峪993米,押2付3,3500,高楼层/7层,55,江山赋,中装
整租,距离地铁后沙峪993米,押2付3,4200,底层/10层,60,江山赋,精装
整租,距离地铁后沙峪1278米,押2付3,9000,中楼层/10层,130.5,明德家园,精装
整租,,押2付3,6700,高楼层/12层,93.7,智地香蜜湾,精装
整租,距离地铁花梨坎607米,押2付3,3400,中楼层/11层,31,蓝星花园,精装
整租,距离地铁后沙峪993米,押1付12,4800,底层/10层,60,江山赋,简装
整租,距离地铁后沙峪993米,押1付3,14000,中楼层/12层,114,江山赋,精装
整租,,押1付3,5200,中楼层/7层,85,万科城市花园紫竹园,精装
整租,,押2付3,7000,底层/6层,112,三山新新家园一、二区,中装
整租,,押1付3,8000,底层/5层,153,双裕花园,中装
整租,,押1付3,6500,中楼层/6层,112,三山新新家园一、二区,精装
随时看房,,,3800,高楼层/11层,60,观林阁,精装
整租,距离地铁花梨坎607米,押2付3,4800,高楼层/6层,90,蓝星花园,精装
整租,距离地铁后沙峪993米,押1付3,3800,中楼层/9层,52.95,江山赋,中装
整租,距离地铁后沙峪1389米,押1付3,12000,底层/10层,145.6,香花畦家园,精装
整租,距离地铁花梨坎461米,押2付3,5300,中楼层/11层,75,空港吉祥花园,精装
整租,距离地铁后沙峪993米,押2付3,8000,底层/9层,97,江山赋,精装
整租,距离地铁后沙峪993米,押2付3,7000,高楼层/10层,94,江山赋,精装
整租,,押1付6,7000,中楼层/6层,110,三山新新家园一、二区,精装
整租,距离地铁花梨坎461米,押2付3,5200,高楼层/10层,69.97,空港吉祥花园,精装
整租,距离地铁后沙峪1445米,押1付3,16500,底层/4层,218.44,万科城市花园百合园,精装
整租,距离地铁后沙峪1445米,押2付3,15000,底层/4层,216.5,万科城市花园百合园,精装
整租,距离地铁花梨坎461米,押1付3,11000,低楼层/9层,102,空港吉祥花园,中装
整租,,押1付3,6500,中楼层/11层,92,智地香蜜湾,精装
整租,距离地铁花梨坎461米,押2付3,5300,低楼层/8层,72.06,空港吉祥花园,中装
整租,,押1付4,5000,低楼层/6层,70,后街花园,精装
整租,距离地铁后沙峪1015米,押2付3,4800,顶层/6层,71.99,双裕小区,精装
整租,,押2付3,5000,高楼层/14层,80,吉祥雅筑,精装
整租,,押1付3,4600,中楼层/7层,81.6,万科城市花园紫竹园,精装
整租,,押2付3,7500,中楼层/6层,135,双裕花园,精装
整租,距离地铁后沙峪993米,押2付3,7500,中楼层/9层,95.99,江山赋,精装
整租,距离地铁后沙峪1445米,押2付3,20000,顶层/2层,209.28,万科城市花园百合园,精装
整租,,押2付3,14000,中楼层/15层,146,智地香蜜湾,精装
整租,,押2付3,6000,高楼层/14层,100,观林阁,精装
整租,,押2付3,18400,中楼层/16层,111.45,中粮祥云国际生活区,精装
整租,,押2付3,4500,顶层/6层,85,清岚花园,精装
整租,距离地铁后沙峪1389米,押1付3,12000,高楼层/7层,145.91,香花畦家园,精装
整租,距离地铁花梨坎607米,押1付3,3000,高楼层/11层,36.69,蓝星花园,精装
整租,距离地铁后沙峪1015米,押2付3,4500,低楼层/6层,78.87,双裕小区,中装
整租,距离地铁后沙峪1389米,押2付3,8300,高楼层/9层,114,香花畦家园,精装
整租,距离地铁花梨坎607米,押2付3,3000,高楼层/11层,35.62,蓝星花园,精装
整租,,押1付3,6500,中楼层/11层,90,智地香蜜湾,精装
整租,,押2付3,5300,中楼层/5层,97,双裕花园,精装
整租,距离地铁后沙峪1015米,押2付3,4300,高楼层/6层,64,双裕小区,精装
整租,,押1付3,4400,顶层/6层,92,清岚花园,精装
整租,,押2付3,6000,中楼层/15层,90,智地香蜜湾,精装
整租,,押3付3,4000,底层/11层,60,观林阁,精装
整租,距离地铁后沙峪1389米,押1付3,12000,低楼层/7层,179.65,香花畦家园,精装
整租,,押2付3,4500,中楼层/13层,60,吉祥雅筑,精装
整租,,押2付3,3600,低楼层/11层,60,观林阁,精装
整租,,押2付3,7500,高楼层/6层,94.34,田园牧歌,精装
合租,距离地铁花梨坎607米,押2付3,1800,顶层/12层,20,蓝星花园,精装
随时看房,距离地铁后沙峪993米,押2付3,10000,低楼层/10层,112.86,江山赋,自供暖
整租,距离地铁后沙峪993米,押2付3,12000,中楼层/5层,152,江山赋,精装
整租,距离地铁后沙峪993米,押1付6,5000,中楼层/7层,105,江山赋,中装
整租,距离地铁后沙峪993米,押2付3,14000,中楼层/5层,152.14,江山赋,精装
