chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,,押2付3,4500,中楼层/6层,58,西平街一里,精装
整租,,押2付3,4000,顶层/4层,65,机场南路西里,中装
整租,,押1付3,3100,顶层/7层,80,樱花园一区,中装
整租,,押2付3,2300,顶层/6层,36,樱花园二区,中装
整租,,押2付3,3500,底层/6层,97,樱花园三区,精装
整租,,押2付3,5300,中楼层/6层,109,首都机场-西平里,精装
整租,,押1付3,7000,顶层/12层,124,蓝海苑,精装
整租,,押2付3,4300,中楼层/5层,64.7,南平里,精装
整租,,押1付3,8500,低楼层/11层,168,蓝海苑,精装
整租,,押1付3,2500,中楼层/6层,35,樱花园二区,精装
整租,,押2付3,1900,顶层/6层,35,樱花园三区,中装
整租,,押2付3,4000,高楼层/6层,60,南平里,中装
整租,,押1付3,3800,顶层/7层,75,樱花园一区,精装
整租,,押2付3,3300,顶层/7层,74,樱花园一区,精装
整租,,押2付3,4200,中楼层/6层,55,南平里,简装
整租,,押1付3,2300,底层/6层,36,樱花园二区,中装
整租,,押2付3,7000,顶层/11层,108,蓝海苑,精装
整租,,押1付3,3500,顶层/6层,80,樱花园一区,精装
整租,,押2付3,3500,中楼层/6层,90,樱花园一区,简装
整租,,押2付3,4000,低楼层/3层,64,燕翔西里,精装
整租,,押2付3,3600,低楼层/7层,97,樱花园一区,中装
整租,,押2付3,5000,中楼层/6层,81,首都机场-北平里,精装
整租,,押2付3,4200,中楼层/6层,108,樱花园六区,精装
整租,距离地铁3号航站楼1484米,押2付3,3200,高楼层/11层,39,东平里,简装
整租,,押1付3,4800,低楼层/6层,108,樱花园六区,中装
整租,,押2付3,3400,中楼层/6层,103,樱花园一区,中装
整租,,押2付3,2600,中楼层/6层,35,樱花园二区,精装
整租,,押1付3,4000,中楼层/6层,60,南平里,中装
整租,,押1付3,7500,顶层/11层,110.7,蓝海苑,中装
整租,,押1付3,3300,高楼层/6层,42,西平街一里,中装
整租,,押1付3,4500,中楼层/6层,60,南平里,精装
整租,,押2付3,9000,中楼层/11层,140,蓝天苑,精装
整租,,押1付3,4400,低楼层/6层,64,南平里,精装
整租,,押2付3,4800,高楼层/6层,145,樱花园六区,精装
合租,,押2付3,1500,高楼层/6层,15,樱花园二区,精装
整租,,押1付3,4000,低楼层/4层,58,机场南路西里,中装
整租,,押2付3,4100,顶层/6层,60,西平街一里,中装
整租,,押2付3,4000,中楼层/6层,95,樱花园六区,精装
整租,,押2付3,4000,高楼层/6层,100,樱花园二区,精装
整租,,押2付3,4500,底层/6层,58,南平里,精装
整租,,押2付3,4300,低楼层/6层,95,樱花园二区,精装
合租,,押1付3,2000,低楼层/6层,148,樱花园六区,精装
整租,,押1付3,4200,中楼层/5层,60,燕翔东里,精装
合租,,押2付3,1600,中楼层/6层,18,樱花园六区,中装
整租,,押2付3,4300,顶层/5层,59,机场南路西里,精装
整租,,押1付3,2500,中楼层/6层,46,樱花园一区,中装
整租,,押2付3,4300,高楼层/6层,56,南平里,精装
整租,,押2付3,4300,中楼层/6层,120,樱花园三区,精装
整租,,押1付3,4000,中楼层/5层,50,机场南路西里,中装
整租,,押1付3,2600,底层/6层,35,樱花园二区,精装
整租,距离地铁3号航站楼1484米,押2付3,4200,中楼层/6层,80,东平里,中装
整租,,押2付3,4500,底层/3层,58,燕翔西里,中装
整租,距离地铁3号航站楼1484米,押2付3,3500,顶层/6层,66,东平里,精装
整租,,押2付3,3000,底层/6层,36,樱花园二区,精装
整租,距离地铁3号航站楼1484米,押2付3,5500,中楼层/11层,82,东平里,精装
整租,,押2付3,4000,中楼层/7层,97.44,樱花园一区,精装
整租,,押2付3,4500,中楼层/6层,91,樱花园六区,中装
整租,,押2付3,5000,底层/6层,110,樱花园六区,简装
合租,,押2付3,1200,顶层/6层,157,樱花园三区,精装
合租,,押2付3,1500,高楼层/6层,167,樱花园二区,精装
合租,,押1付3,1500,低楼层/6层,18,樱花园六区,精装
合租,,押2付3,1200,顶层/6层,157,樱花园三区,精装
整租,,押2付3,4000,高楼层/6层,105,樱花园三区,精装
整租,,押1付3,4000,底层/6层,96,樱花园一区,精装
整租,,押2付3,3200,中楼层/6层,136,樱花园六区,简装
整租,,押1付3,3300,中楼层/6层,66,樱花园三区,精装
合租,,押1付3,1400,高楼层/6层,125,樱花园一区,简装
整租,,押1付3,2400,中楼层/6层,36,樱花园二区,中装
整租,,押1付3,3600,低楼层/6层,92,樱花园一区,中装
合租,,押1付3,1300,顶层/6层,18,樱花园三区,精装
整租,,押1付3,3800,低楼层/6层,80,樱花园一区,中装
整租,,押2付3,4000,顶层/7层,78,樱花园一区,中装
整租,,押2付3,3000,底层/6层,49,燕翔西里,精装
整租,,押2付3,3200,顶层/6层,108,樱花园三区,精装
整租,,押1付3,3000,顶层/6层,80,樱花园一区,精装
整租,距离地铁3号航站楼1484米,押2付3,4200,高楼层/6层,67,东平里,中装
,,押1付3,6700,中楼层/11层,122,蓝海苑,整租
整租,,押2付3,3700,底层/6层,35,樱花园二区,豪装
整租,,押1付1,2900,高楼层/6层,97,樱花园一区,中装
合租,,押1付3,1600,底层/6层,15,樱花园六区,精装
整租,,押1付3,3500,中楼层/6层,100,樱花园三区,精装
整租,,押2付3,4200,高楼层/6层,60,首都机场-北平里,精装
合租,,押2付3,1800,中楼层/6层,15,樱花园二区,中装
整租,,押2付3,4800,底层/6层,83,首都机场-北平里,中装
整租,,押1付3,4200,高楼层/6层,54.7,首都机场-北平里,精装
整租,距离地铁3号航站楼1484米,押2付3,4200,顶层/6层,67,东平里,中装
整租,,押1付3,4800,低楼层/6层,58,南平里,精装
