chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁顺义493米,押1付3,5600,中楼层/5层,145,东兴小区,精装
整租,距离地铁顺义1367米,押2付3,3600,中楼层/18层,70.4,裕龙花园三区,精装
整租,,押1付3,4500,中楼层/6层,65,南竺园一区,精装
整租,距离地铁石门966米,押1付3,4000,高楼层/18层,69.98,红杉一品,精装
整租,,押2付3,4500,高楼层/6层,92,澜西园二区,简装
整租,,押2付3,4000,底层/11层,77,澜西园四区,精装
整租,,押1付3,4800,低楼层/6层,60,南竺园东区,精装
整租,距离地铁顺义1367米,押1付3,4200,低楼层/18层,70,裕龙花园三区,中装
整租,,押2付3,4000,中楼层/12层,93,澜西园三区,简装
整租,距离地铁顺义905米,押2付3,4800,中楼层/20层,80,绿港家园四区,精装
整租,,押1付3,4000,底层/12层,93,澜西园三区,中装
整租,距离地铁顺义930米,押2付3,3000,中楼层/6层,70,双兴东区-含阳光水岸,中装
整租,,押2付3,3700,底层/6层,59.14,南竺园东区,简装
整租,,押2付3,6500,顶层/10层,145,合景香悦四季东三区,精装
整租,,押2付3,4000,中楼层/6层,74,南竺园东区,精装
整租,距离地铁顺义377米,押1付6,4000,高楼层/6层,78,幸福东区,中装
整租,,押2付3,3600,高楼层/12层,68,梅兰居,精装
整租,距离地铁石门456米,押1付3,3300,顶层/7层,37,西辛南区,中装
整租,距离地铁顺义1490米,押1付3,3700,中楼层/6层,75,双兴北区,中装
整租,距离地铁石门820米,押1付3,4300,中楼层/6层,85,前进花园石门苑,精装
整租,距离地铁顺义1017米,押2付3,4200,中楼层/6层,87,双兴南区,精装
整租,距离地铁石门456米,押2付3,3000,中楼层/6层,33,西辛南区,精装
整租,,押1付3,3800,顶层/6层,119,裕龙花园六区,精装
整租,距离地铁顺义1367米,押1付3,2400,底层/18层,93,裕龙花园三区,简装
整租,距离地铁石门1311米,押1付3,4000,低楼层/18层,74.58,怡馨家园,精装
整租,距离地铁石门820米,押2付3,4500,高楼层/6层,90,前进花园石门苑,中装
整租,距离地铁石门820米,押2付3,4200,中楼层/6层,88,前进花园石门苑,精装
整租,,押2付3,4500,高楼层/6层,71.24,南竺园一区,中装
整租,距离地铁顺义845米,押2付3,4200,中楼层/6层,51.86,建新北区,精装
整租,距离地铁顺义741米,押2付3,4500,底层/6层,110,胜利小区,中装
整租,距离地铁顺义493米,押1付3,3200,中楼层/6层,63,东兴小区,中装
整租,距离地铁石门820米,押1付3,4300,高楼层/6层,85,前进花园石门苑,精装
整租,距离地铁石门820米,押1付3,4500,低楼层/6层,76,前进花园石门苑,精装
整租,距离地铁顺义493米,押2付3,3600,中楼层/6层,65,东兴小区,精装
整租,距离地铁石门914米,押1付3,5500,中楼层/13层,70,悦君家园,精装
整租,距离地铁顺义493米,押2付3,4500,高楼层/6层,110,东兴小区,中装
整租,,押1付12,5800,中楼层/9层,130,合景香悦四季东三区,豪装
整租,,押2付3,4500,底层/6层,97,澜西园三区,简装
整租,,押1付3,3300,高楼层/6层,65,石园东区,精装
整租,距离地铁顺义1432米,押2付3,4500,中楼层/6层,111,裕龙花园四区,中装
整租,,押1付3,3000,顶层/6层,60,石园西区,简装
整租,距离地铁石门914米,押2付3,5200,中楼层/20层,69,悦君家园,精装
整租,距离地铁石门1311米,押2付3,4500,低楼层/9层,97,怡馨家园,精装
整租,,押2付3,3000,低楼层/6层,72,石园北区,精装
整租,距离地铁顺义775米,押1付3,3500,低楼层/6层,64.86,义宾北区,中装
整租,,押2付3,4000,低楼层/6层,65,南竺园一区,中装
整租,,押2付3,5000,高楼层/6层,120,裕龙花园六区,精装
整租,距离地铁顺义948米,押2付3,4500,底层/18层,80,绿港家园五区,精装
整租,距离地铁俸伯1388米,押2付3,5500,底层/18层,148,裕龙花园五区,简装
整租,距离地铁石门820米,押2付3,4500,低楼层/6层,84,前进花园石门苑,精装
整租,,押2付3,4000,高楼层/6层,120,仓上小区,精装
整租,,押1付3,3000,高楼层/6层,65.8,滨河小区,中装
整租,,押1付3,5000,中楼层/6层,100,南竺园东区,中装
整租,距离地铁石门456米,押1付3,4500,高楼层/7层,95,西辛南区,精装
整租,距离地铁顺义1017米,押2付3,3500,底层/6层,65,双兴南区,中装
整租,,押2付3,3500,中楼层/6层,86,石园北区,中装
整租,,押1付3,3800,高楼层/11层,60,澜西园四区,精装
整租,距离地铁顺义1345米,押1付3,3800,高楼层/6层,60,龙府花园,精装
整租,距离地铁顺义1490米,押2付3,4600,底层/6层,95,双兴北区,简装
整租,,押1付3,3700,中楼层/6层,87,石园东区,中装
整租,距离地铁顺义848米,押2付3,4500,高楼层/6层,100,东兴二区,精装
整租,,押2付3,3800,低楼层/16层,102,港馨家园福景苑,精装
整租,距离地铁石门456米,押1付3,4500,高楼层/6层,92,西辛南区,精装
整租,,押2付3,3500,低楼层/18层,118,滨河小区,精装
整租,距离地铁顺义585米,押2付3,5000,中楼层/15层,80,大牛坊小区,中装
整租,,押1付3,3500,高楼层/6层,75,石园东区,中装
整租,,押1付3,4500,中楼层/6层,110,裕龙花园六区,精装
整租,,押2付3,3300,高楼层/6层,78,石园北区,精装
整租,距离地铁顺义848米,押2付3,5500,底层/6层,117,东兴二区,中装
整租,距离地铁石门820米,押1付3,3600,高楼层/6层,72,前进花园石门苑,精装
整租,距离地铁石门464米,押2付3,2800,顶层/5层,94.57,前进花园牡丹苑,中装
整租,距离地铁石门820米,押2付3,6500,底层/6层,70,前进花园石门苑,中装
整租,距离地铁顺义1017米,押2付3,5600,顶层/18层,130,双兴南区,精装
整租,距离地铁顺义377米,押2付3,3500,顶层/6层,65,幸福东区,中装
整租,距离地铁石门456米,押2付3,1666,中楼层/6层,20,西辛南区,精装
整租,,押1付3,4200,高楼层/12层,92,澜西园三区,中装
合租,距离地铁顺义845米,押2付3,5000,低楼层/5层,56,建新北区,精装
整租,距离地铁顺义930米,押2付3,3500,高楼层/6层,68,双兴东区-含阳光水岸,精装
整租,,押1付3,4500,底层/11层,91.6,澜西园三区,简装
整租,距离地铁顺义377米,押2付3,3700,中楼层/6层,54,幸福东区,中装
整租,,押2付3,3500,高楼层/6层,61,仓上小区,精装
合租,距离地铁石门456米,押2付3,1300,底层/6层,15,西辛南区,精装
整租,,押2付3,2900,中楼层/6层,58.93,石园东区,精装
整租,距离地铁顺义377米,押2付3,10000,顶层/2层,83.7,幸福东区,中装
整租,距离地铁顺义943米,押2付3,3800,高楼层/6层,56.85,建新南区,中装
整租,,押1付3,3700,高楼层/6层,95,仓上小区,中装
整租,距离地铁顺义848米,押2付3,3800,高楼层/6层,71,东兴二区,中装
整租,,押1付3,5500,顶层/6层,100,南竺园一区,中装
整租,距离地铁石门820米,押1付3,4200,高楼层/6层,93,前进花园石门苑,精装
整租,,押2付3,3800,顶层/6层,90.67,石园北区,中装
整租,,押1付3,4500,高楼层/6层,118,裕龙花园六区,精装
整租,,押1付3,3600,中楼层/6层,80,石园北区,简装
整租,距离地铁石门1007米,押2付3,6000,低楼层/21层,103,华玺瀚楟,精装
整租,,押2付3,5000,低楼层/10层,86,空港国际,精装
整租,距离地铁顺义848米,押2付3,3500,顶层/6层,60,东兴二区,中装
整租,距离地铁顺义930米,押2付3,4500,中楼层/6层,90,双兴东区-含阳光水岸,精装
整租,距离地铁石门820米,押2付3,2000,中楼层/6层,15,前进花园石门苑,简装
整租,距离地铁顺义741米,押2付3,3300,中楼层/6层,60,胜利小区,中装
整租,距离地铁石门820米,押2付3,10000,底层/6层,86,前进花园石门苑,中装
整租,,押2付3,3600,中楼层/6层,76,仓上小区,简装
整租,距离地铁顺义845米,押1付3,3100,顶层/5层,60,建新北区,中装
整租,,押2付3,3300,高楼层/11层,60,澜西园四区,精装
整租,,押1付3,4200,中楼层/6层,92,仓上小区,中装
整租,距离地铁顺义377米,押2付3,3000,中楼层/6层,60,幸福东区,中装
整租,,押2付3,3000,中楼层/6层,68,仓上小区,简装
整租,距离地铁顺义845米,押1付3,3200,中楼层/5层,60,建新北区,简装
整租,,押2付3,4000,底层/11层,91,澜西园三区,中装
整租,距离地铁石门317米,押1付3,4700,顶层/6层,105,宏城花园,中装
整租,距离地铁顺义741米,押2付3,3800,中楼层/6层,78,胜利小区,简装
整租,,押2付3,3000,低楼层/11层,57,澜西园四区,简装
整租,距离地铁顺义1017米,押2付3,3500,低楼层/18层,60,双兴南区,中装
整租,,押2付3,4500,中楼层/12层,85,梅兰居,精装
整租,距离地铁石门820米,押2付3,4500,顶层/6层,89,前进花园石门苑,中装
合租,距离地铁顺义930米,押2付3,1600,底层/6层,20,双兴东区-含阳光水岸,中装
整租,,押2付3,4000,高楼层/6层,60,南竺园一区,精装
整租,,押2付3,4500,中楼层/6层,94,澜西园二区,精装
整租,距离地铁顺义1367米,押1付3,4500,顶层/6层,85,裕龙花园三区,精装
整租,距离地铁石门1172米,押2付3,4000,顶层/6层,92,西辛北区,精装
整租,,押1付3,1500,顶层/15层,20,仓上小区,精装
整租,,押2付3,4500,底层/6层,80,南竺园一区,中装
整租,,押1付3,5500,顶层/11层,150,澜西园四区,中装
整租,,押2付3,3500,高楼层/6层,68,仓上小区,简装
整租,距离地铁顺义1017米,押1付3,4300,低楼层/18层,85,双兴南区,精装
整租,距离地铁顺义1490米,押2付3,5000,高楼层/12层,93.82,双兴北区,精装
整租,,押2付3,6000,中楼层/15层,93,仓上小区,精装
整租,,押2付3,3300,低楼层/6层,61,仓上小区,精装
整租,,押1付3,3800,顶层/6层,62,南竺园东区,中装
整租,,押1付3,28000,底层/2层,700,观潮园,精装
整租,,押2付3,5000,中楼层/18层,85,空港国际,精装
整租,,押2付3,4000,高楼层/9层,50,空港国际,毛坯
整租,距离地铁顺义493米,押1付3,6500,中楼层/6层,121,东兴小区,精装
距离地铁顺义493米,距离地铁顺义493米,押2付3,3400,顶层/6层,100,东兴小区,随时看房
整租,,押2付3,5000,低楼层/22层,82,空港国际,精装
顺义城,,,3500,顶层/6层,80,南竺园一区,简装
整租,,押2付3,4000,低楼层/22层,53,空港国际,中装
合租,距离地铁石门1172米,押1付3,1500,高楼层/6层,20,西辛北区,精装
整租,,押2付3,4200,中楼层/6层,76,南竺园东区,中装
顺义城,距离地铁顺义377米,押1付3,4500,低楼层/6层,90,幸福东区,其他
整租,,押2付3,5000,底层/10层,130,空港国际,精装
顺义城,距离地铁顺义845米,押1付3,3900,顶层/6层,68.5,建新北区,其他
整租,距离地铁石门820米,押2付3,7500,顶层/6层,130,前进花园石门苑,精装
顺义城,距离地铁顺义1426米,押1付3,4300,中楼层/6层,84.33,裕龙花园一区,其他
顺义城,,押1付3,2700,中楼层/6层,60,滨河小区,其他
顺义城,距离地铁顺义1303米,押1付3,4700,中楼层/6层,100,裕龙花园二区,其他
顺义城,距离地铁石门914米,押1付3,5000,高楼层/16层,91,悦君家园,其他
顺义城,距离地铁顺义845米,押1付3,2700,顶层/5层,57.2,建新北区,其他
顺义城,距离地铁顺义905米,押1付3,4400,高楼层/20层,80,绿港家园四区,其他
顺义城,,押1付3,4000,中楼层/6层,86,澜西园三区,其他
顺义城,,押1付3,3600,高楼层/16层,93,石园北区,其他
顺义城,距离地铁顺义943米,押1付3,3300,中楼层/6层,52,建新南区,其他
顺义城,,押1付3,3000,高楼层/6层,73,滨河小区,其他
距离地铁顺义493米,距离地铁顺义493米,押1付3,2100,中楼层/6层,18,东兴小区,合租
距离地铁顺义519米,距离地铁顺义519米,押1付3,1450,顶层/24层,15,幸福西区,合租
距离地铁顺义519米,距离地铁顺义519米,押1付3,1400,顶层/24层,17,幸福西区,合租
距离地铁顺义493米,距离地铁顺义493米,押1付3,1700,中楼层/6层,15,东兴小区,合租
顺义城,距离地铁顺义1345米,押1付3,2800,顶层/6层,118,龙府花园,其他
整租,,押2付3,2700,顶层/6层,64,仓上小区,中装
整租,,押1付3,5000,低楼层/6层,83,南竺园一区,简装
顺义城,距离地铁顺义775米,押1付3,3700,顶层/6层,65.44,义宾北区,其他
整租,,押2付3,5000,低楼层/11层,62,空港国际,精装
整租,,押1付3,3900,中楼层/6层,83,南竺园一区,精装
整租,距离地铁顺义930米,押2付3,4500,底层/6层,70,双兴东区-含阳光水岸,简装
整租,,押1付3,3900,中楼层/6层,76.43,仓上小区,精装
整租,,押2付3,3500,顶层/6层,85,滨河小区,中装
整租,,押2付3,3500,中楼层/6层,65,仓上小区,中装
整租,,押2付3,3400,底层/6层,70,石园东区,中装
整租,距离地铁顺义493米,押1付3,3000,底层/6层,60,东兴小区,精装
顺义城,距离地铁顺义845米,押1付3,2700,中楼层/6层,56,建新北区,其他
顺义城,距离地铁石门820米,押1付3,3200,低楼层/6层,69.7,前进花园石门苑,其他
整租,距离地铁石门1311米,押2付3,4800,高楼层/18层,99,怡馨家园,中装
顺义城,,押1付3,3000,中楼层/6层,52,卡法国际,其他
顺义城,,押1付3,2400,低楼层/15层,33,合景香悦四季东三区,其他
顺义城,,押1付3,2300,中楼层/15层,42,合景香悦四季西三区,其他
顺义城,距离地铁顺义848米,押1付3,4500,顶层/6层,120,东兴二区,其他
顺义城,,押1付3,2100,低楼层/15层,33,合景香悦四季西三区,其他
顺义城,,押1付3,3500,中楼层/9层,66,卡法国际,其他
顺义城,,押1付3,4900,中楼层/6层,120,裕龙花园六区,其他
顺义城,,押1付3,2400,高楼层/15层,32.72,合景香悦四季东三区,其他
顺义城,距离地铁顺义493米,押1付3,3400,顶层/6层,60,东兴小区,其他
顺义城,距离地铁顺义377米,押1付3,3200,高楼层/6层,58.83,幸福东区,其他
