chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁南法信822米,押1付3,4700,中楼层/7层,98,华英园,精装
整租,,押1付3,4000,低楼层/6层,95,石园东苑,精装
整租,距离地铁南法信822米,押2付3,4600,高楼层/6层,60,华英园,中装
整租,,押2付3,3000,高楼层/6层,100,顺鑫澜庭,中装
整租,,押2付3,3500,高楼层/11层,98,港馨家园东区,中装
整租,,押1付3,6000,低楼层/6层,140,石园南区,精装
整租,,押1付3,3200,高楼层/6层,66,馨港庄园三区,精装
整租,,押2付3,4300,中楼层/18层,114,仁和花园一区,中装
整租,,押1付3,7000,高楼层/16层,161,石园南区,精装
整租,,押2付3,4700,中楼层/6层,112,港馨家园西区,中装
整租,距离地铁南法信822米,押2付3,10000,低楼层/6层,130,华英园,精装
整租,,押2付3,5500,中楼层/16层,159,石园南区,精装
整租,,押2付3,3200,顶层/6层,83,丽喜花园,精装
整租,,押1付3,3600,低楼层/6层,88,石园南区,中装
整租,,押2付3,7000,高楼层/16层,161.63,石园南区,精装
整租,,押2付3,3300,中楼层/6层,83,石园东苑,精装
整租,距离地铁石门872米,押2付3,4300,高楼层/6层,96,望泉家园石景苑,中装
整租,距离地铁石门872米,押1付3,4000,底层/6层,90,望泉家园石景苑,精装
整租,距离地铁石门872米,押2付3,4600,高楼层/15层,94,望泉家园石景苑,精装
整租,,押2付3,3000,中楼层/18层,60,仁和花园一区,简装
整租,,押1付3,3500,高楼层/6层,90,港馨家园西区,精装
整租,,押2付3,2800,顶层/13层,60,仁和花园一区,精装
整租,距离地铁石门872米,押1付3,5000,低楼层/15层,96,望泉家园石景苑,精装
整租,,押2付3,3000,底层/18层,68,仁和花园一区,精装
整租,,押2付3,3700,顶层/6层,82,港馨家园西区,精装
整租,,押2付3,3900,底层/18层,89,仁和花园一区,精装
整租,,押2付3,8000,顶层/9层,138.5,中海国际公馆,精装
整租,,押2付3,4000,中楼层/6层,111,丽喜花园,精装
整租,,押2付3,4500,低楼层/18层,110,仁和花园二区,精装
整租,,押2付3,4000,底层/9层,100,顺鑫花语,精装
整租,距离地铁石门872米,押2付3,4500,高楼层/6层,93,望泉家园石景苑,精装
整租,,押1付3,3600,低楼层/18层,90,仁和花园一区,精装
整租,距离地铁南法信822米,押1付3,6500,高楼层/6层,150,华英园,精装
顺义其它,,押1付3,2000,高楼层/6层,107,双阳南区,其他
,,押2付3,2200,高楼层/6层,108,阳洲鑫园,非工作日
,,押2付2,2100,低楼层/6层,86,阳洲鑫园,非工作日
整租,,押2付3,7500,低楼层/16层,155,石园南区,中装
整租,,押1付3,4500,中楼层/6层,120,丽喜花园,中装
整租,,押1付3,4600,中楼层/12层,90,首开北京苏活,精装
整租,,押1付3,2700,中楼层/15层,100,水色时光三区,中装
整租,,押2付3,4500,中楼层/4层,110,顺鑫花语,中装
整租,,押2付3,4000,中楼层/6层,120,丽喜花园,精装
整租,,押2付3,3500,中楼层/6层,87,丽喜花园,精装
整租,,押2付3,2700,高楼层/6层,80,河南村小区,精装
合租,,押2付3,1300,中楼层/6层,90,石园东苑,中装
整租,,押2付3,4800,底层/6层,120,馨港庄园三区,中装
整租,,押1付3,4800,顶层/6层,130,港馨家园东区,精装
整租,,押2付3,4850,顶层/6层,110,丽喜花园,毛坯
整租,,押2付3,4000,顶层/6层,99,丽喜花园,精装
整租,,押1付3,3900,中楼层/18层,90,仁和花园一区,精装
整租,,押2付3,3600,低楼层/16层,93,港馨家园东区,中装
整租,,押1付3,3500,中楼层/6层,120,康乐小区,精装
整租,,押1付3,3500,中楼层/11层,100,港馨家园东区,中装
整租,,押2付3,3200,高楼层/6层,85,港馨家园东区,中装
整租,,押1付12,9000,中楼层/16层,276.62,石园南区,简装
整租,,押2付3,3000,低楼层/18层,59,仁和花园一区,中装
整租,距离地铁俸伯964米,押2付3,3500,高楼层/6层,87,彩俸小区,中装
整租,,押1付3,3500,高楼层/18层,71,鼎顺嘉园,精装
整租,,押1付3,2500,顶层/6层,60,河南村小区,中装
整租,,押2付3,3500,顶层/6层,91,港馨家园西区,中装
整租,距离地铁俸伯964米,押2付3,2800,低楼层/6层,69.33,彩俸小区,中装
整租,,押2付3,3800,低楼层/18层,86,仁和花园一区,精装
非工作日,,,4500,低楼层/18层,88,仁和花园一区,精装
整租,,押2付3,3500,中楼层/18层,60,仁和花园一区,精装
整租,,押1付12,3200,低楼层/18层,65,鼎顺嘉园,中装
非工作日,距离地铁俸伯964米,,3100,高楼层/6层,94,彩俸小区,精装
整租,,押1付3,2800,高楼层/10层,60,鼎顺嘉园,中装
整租,,押2付3,3200,高楼层/6层,70,石园南区,精装
整租,,押2付3,3200,顶层/6层,83,丽喜花园,中装
整租,距离地铁石门872米,押2付3,4600,中楼层/15层,100,望泉家园石景苑,精装
整租,,押2付3,3700,高楼层/6层,90,石园南区,精装
整租,,押1付3,2800,高楼层/18层,63,仁和花园一区,简装
合租,距离地铁南法信822米,押1付3,1800,高楼层/7层,25,华英园,精装
整租,距离地铁俸伯964米,押1付3,2800,高楼层/6层,70,彩俸小区,中装
整租,,押2付12,6500,高楼层/11层,110,港馨家园东区,精装
整租,距离地铁南法信822米,押2付3,110000,底层/6层,100,华英园,中装
整租,距离地铁石门872米,押1付3,5000,中楼层/15层,96,望泉家园石景苑,精装
顺义其它,,押1付3,2200,中楼层/6层,86.88,阳洲鑫园,其他
顺义其它,,押1付3,2000,低楼层/6层,76.44,双阳南区,其他
整租,,押1付3,5000,高楼层/6层,132,馨港庄园三区,中装
整租,,押2付3,2500,低楼层/6层,63,河南村小区,精装
整租,,押2付3,3800,低楼层/6层,93,馨港庄园三区,精装
整租,,押2付3,2800,中楼层/6层,90,彩苑小区,中装
整租,,押2付3,3500,中楼层/18层,72,鼎顺嘉园,精装
合租,,押2付3,1500,中楼层/6层,95,石园东苑,中装
整租,,押2付3,5000,底层/11层,108,港馨家园东区,精装
整租,,押2付3,2900,高楼层/11层,98,顺鑫朗郡,简装
整租,,押2付3,4500,中楼层/15层,93,畅顺园,精装
整租,,押1付3,3000,低楼层/6层,85,顺鑫澜庭,精装
整租,,押1付3,3800,高楼层/11层,92,港馨家园西区,中装
整租,,押2付3,4700,高楼层/6层,111,馨港庄园三区,精装
整租,,押2付3,3000,顶层/6层,95,康乐小区,中装
整租,,押2付3,3500,底层/6层,80,彩苑小区,中装
整租,距离地铁石门872米,押2付3,4800,低楼层/15层,92,望泉家园石景苑,精装
合租,距离地铁石门872米,押2付3,5500,中楼层/6层,90,望泉家园石景苑,精装
整租,,押2付3,3500,中楼层/6层,85,港馨家园东区,精装
整租,,押1付3,3200,中楼层/6层,116,顺鑫澜庭,精装
整租,,押2付3,3800,顶层/6层,111,丽喜花园,精装
整租,,押2付3,3600,顶层/10层,89,港馨家园西区,精装
整租,,押1付12,3600,低楼层/6层,96,港馨家园东区,精装
整租,,押2付3,3700,低楼层/6层,85,石园南区,中装
整租,,押2付3,2800,高楼层/18层,63,仁和花园一区,精装
整租,,押2付3,2200,中楼层/6层,58,河南村小区,精装
整租,,押2付3,4500,中楼层/6层,117,石园南区,精装
整租,距离地铁石门872米,押1付3,4800,低楼层/15层,97,望泉家园石景苑,精装
整租,,押2付3,3500,顶层/6层,82,石园东苑,简装
整租,,押2付3,3000,高楼层/18层,57,仁和花园一区,毛坯
整租,,押2付3,2400,顶层/6层,87,阳洲鑫园,简装
整租,,押1付3,4000,顶层/6层,130,港馨家园东区,简装
整租,,押1付3,4500,中楼层/11层,94,畅顺园,精装
整租,,押2付3,3200,中楼层/6层,95,港馨家园东区,中装
整租,,押1付3,2600,低楼层/6层,60,康乐小区,简装
整租,距离地铁俸伯964米,押2付3,4000,底层/6层,90,彩俸小区,中装
整租,,押1付6,6000,低楼层/16层,110,石园南区,精装
整租,,押2付3,3800,低楼层/18层,99,仁和花园一区,中装
整租,,押2付3,4300,顶层/6层,180,港馨家园东区,中装
整租,,押1付3,3500,顶层/12层,65,国测8号A区,精装
整租,,押1付3,2900,中楼层/6层,86,顺鑫澜庭,精装
整租,距离地铁石门872米,押2付3,4000,低楼层/15层,97,望泉家园石景苑,精装
合租,,押2付3,1600,顶层/14层,17,仁和花园一区,精装
整租,,押2付3,6800,底层/4层,178,万晴园,中装
整租,,押2付3,4200,顶层/6层,115,港馨家园西区,精装
整租,,押2付3,2800,底层/6层,86,顺鑫澜庭,中装
整租,,押2付3,2700,顶层/6层,86,顺鑫澜庭,中装
整租,,押2付3,5000,高楼层/6层,148.07,顺鑫澜庭,毛坯
整租,,押2付3,2600,顶层/6层,86,顺鑫澜庭,精装
整租,,押2付3,4000,中楼层/18层,90,仁和花园一区,精装
整租,,押1付3,2600,高楼层/6层,70,天河小区,精装
整租,,押2付3,2800,中楼层/6层,96,顺鑫澜庭,精装
整租,,押1付3,4200,中楼层/11层,108,港馨家园东区,精装
顺义其它,距离地铁石门872米,押1付3,4200,高楼层/6层,92,望泉家园石景苑,其他
顺义其它,距离地铁南法信822米,押1付3,4400,中楼层/7层,100,华英园,其他
顺义其它,,押1付3,2700,中楼层/11层,50,顺鑫汇,其他
顺义其它,,押1付3,4700,底层/8层,100,锦悦嘉苑,其他
顺义其它,,押1付3,3100,顶层/7层,54,顺鑫汇,其他
顺义其它,,押1付3,3500,顶层/10层,70,炫立方,其他
整租,,押2付3,3100,高楼层/11层,60,鼎顺嘉园,精装
合租,,押2付3,1600,中楼层/6层,18,燕京啤酒厂家属楼,精装
整租,,押2付3,2100,中楼层/6层,41,河南村小区,中装
整租,,押1付3,3500,顶层/6层,116,阳洲鑫园,精装
整租,,押2付3,1600,高楼层/6层,97,永强家园,精装
顺义其它,,押1付3,4000,底层/18层,90,仁和花园一区,其他
顺义其它,,押1付3,4000,底层/18层,89,仁和花园一区,其他
整租,,押2付3,2300,顶层/6层,60,河南村小区,简装
整租,,押2付3,3700,顶层/6层,113,港馨家园西区,中装
整租,,押2付3,3500,低楼层/6层,85,馨港庄园三区,精装
整租,,押2付3,4500,中楼层/6层,100,港馨家园东区,精装
整租,,押2付3,4500,底层/11层,101,畅顺园,精装
整租,,押2付3,2900,顶层/6层,100,阳洲鑫园,精装
整租,,押2付3,3300,顶层/6层,68,石园南区,中装
整租,,押2付3,3500,高楼层/6层,110,港馨家园东区,精装
整租,,押1付3,3000,顶层/6层,86,石园南区,中装
整租,,押2付3,4500,中楼层/9层,83,畅顺园,精装
整租,,押2付3,2700,顶层/6层,70,顺鑫澜庭,中装
整租,,押2付3,3500,高楼层/6层,90,石园南区,精装
整租,距离地铁石门872米,押1付3,4300,底层/6层,90,望泉家园石景苑,精装
整租,,押2付3,3300,顶层/6层,83,港馨家园西区,中装
整租,,押1付3,3600,高楼层/18层,86,仁和花园二区,精装
整租,,押2付3,4500,底层/6层,116,馨港庄园三区,简装
顺义其它,,押1付3,3900,中楼层/6层,103,石园南区,其他
顺义其它,距离地铁南法信822米,押1付3,4600,高楼层/6层,104,华英园,其他
整租,,押2付3,2800,高楼层/18层,60,仁和花园一区,中装
顺义其它,,押1付3,3400,低楼层/18层,88,仁和花园一区,其他
整租,,押2付3,5500,底层/6层,108,馨港庄园三区,精装
整租,,押2付3,4000,中楼层/6层,90,丽喜花园,精装
整租,,押2付3,2500,顶层/6层,110,顺鑫澜庭,精装
整租,,押1付3,3800,顶层/13层,62,仁和花园一区,精装
整租,,押2付3,4500,低楼层/18层,114,仁和花园一区,精装
整租,,押1付3,3500,高楼层/6层,130,顺鑫澜庭,精装
整租,,押1付3,2800,中楼层/6层,104,顺鑫澜庭,简装
