chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,,押1付3,4500,中楼层/6层,80,天竺新村,精装
整租,距离地铁国展1499米,押2付3,12800,低楼层/18层,121,万通天竺新新家园,精装
整租,,押2付3,5500,底层/6层,100,天竺新村,中装
整租,,押1付3,5500,高楼层/6层,100,天竺新村,中装
整租,,押2付3,4600,顶层/6层,90,天竺新村,中装
整租,,押1付3,4000,顶层/6层,80,天竺新村,中装
整租,,押1付3,5500,高楼层/6层,98.32,天竺新村,精装
整租,,押2付3,5500,中楼层/6层,100,天竺新村,中装
整租,,押2付3,5200,顶层/6层,100,天竺新村,精装
随时看房,距离地铁国展1499米,押2付3,8000,中楼层/6层,186,万通天竺新新家园,自供暖
整租,,押2付3,5500,底层/6层,100,天竺新村,精装
整租,,押2付3,5000,顶层/6层,100,天竺新村,简装
整租,,押2付3,4000,顶层/6层,80,天竺新村,精装
整租,,押2付3,5300,高楼层/6层,128,天竺新村,精装
整租,,押2付3,5500,低楼层/6层,100,天竺新村,精装
整租,,押2付3,4200,中楼层/6层,80,天竺新村,中装
整租,,押1付3,4500,顶层/6层,100,天竺新村,中装
整租,,押2付3,4500,中楼层/6层,80,天竺新村,中装
整租,距离地铁国展1499米,押2付3,14200,低楼层/16层,120,万通天竺新新家园,豪装
整租,,押2付3,4500,中楼层/6层,85,天竺新村,精装
整租,,押2付3,5500,底层/6层,100,天竺新村,精装
整租,,押2付3,4800,低楼层/6层,80,天竺新村,精装
整租,,押1付3,5000,低楼层/6层,100,天竺新村,精装
随时看房,,,5000,底层/6层,98,天竺新村,精装
整租,距离地铁国展1499米,押2付3,16000,底层/8层,130,万通天竺新新家园,精装
整租,距离地铁国展1499米,押2付3,16000,高楼层/16层,150,万通天竺新新家园,精装
距离地铁国展1328米,距离地铁国展1328米,押1付3,1300,顶层/6层,25,天竺花园,合租
整租,距离地铁国展1499米,押2付3,18000,中楼层/13层,153,万通天竺新新家园,精装
整租,距离地铁国展1499米,押2付3,15000,高楼层/18层,120,万通天竺新新家园,中装
整租,,押2付3,5000,顶层/6层,90,天竺新村,精装
整租,,押2付3,5200,底层/6层,100,天竺新村,精装
整租,,押2付3,5000,顶层/6层,100,天竺新村,精装
整租,,押1付3,5500,高楼层/6层,100,天竺新村,精装
整租,,押1付3,4800,低楼层/6层,100,天竺新村,中装
整租,,押1付3,4000,顶层/6层,80,天竺新村,精装
整租,,押2付3,4500,高楼层/6层,90,天竺新村,精装
整租,,押2付3,5500,高楼层/6层,95,天竺新村,中装
整租,,押2付3,5300,高楼层/6层,100,天竺新村,中装
整租,,押2付3,4500,中楼层/6层,80,天竺新村,中装
整租,,押2付3,4300,底层/6层,80,天竺新村,中装
整租,,押1付3,5000,高楼层/6层,100,天竺新村,精装
整租,,押2付3,4800,底层/6层,80,天竺新村,精装
整租,,押2付3,4800,低楼层/6层,100,天竺新村,简装
