chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁花梨坎726米,押2付3,4000,顶层/16层,60,枫泉花园,精装
整租,,押2付3,5200,高楼层/16层,93,翠竹新村,精装
整租,距离地铁花梨坎726米,押2付3,4500,低楼层/16层,75,枫泉花园,简装
整租,,押2付3,18000,高楼层/14层,144.89,中粮祥云小镇,精装
整租,距离地铁花梨坎726米,押1付3,5200,中楼层/16层,74,枫泉花园,精装
整租,,押2付3,32000,底层/3层,302.79,莫奈花园福裕苑,精装
合租,距离地铁马泉营1395米,押1付3,2100,高楼层/6层,90,马南里小区,精装
整租,,押2付3,28000,顶层/3层,219.58,莫奈花园福祥苑,精装
整租,,押2付3,13000,高楼层/14层,113.06,中粮祥云小镇,精装
整租,距离地铁花梨坎726米,押2付3,5000,中楼层/16层,78,枫泉花园,精装
整租,,押2付3,5400,高楼层/11层,80,京旺家园,中装
整租,距离地铁花梨坎726米,押2付3,4500,底层/15层,90,枫泉花园,精装
整租,,押1付3,5500,低楼层/18层,97,天裕昕园,精装
整租,,押2付3,6800,低楼层/18层,107,天裕昕园,中装
整租,,押2付3,5000,低楼层/18层,96,天裕昕园,精装
整租,,押2付3,4500,顶层/18层,98,天裕昕园,精装
整租,距离地铁马泉营481米,押2付3,200000,底层/8层,1000,观唐别墅,精装
整租,,押1付3,4100,中楼层/18层,80,天裕昕园,中装
整租,,押2付3,4700,底层/18层,78,天裕昕园,精装
整租,,押2付3,8000,中楼层/18层,108,天裕昕园,精装
整租,距离地铁花梨坎726米,押1付3,5000,中楼层/16层,75,枫泉花园,精装
整租,距离地铁花梨坎726米,押2付3,3800,低楼层/16层,65,枫泉花园,精装
整租,距离地铁花梨坎726米,押2付3,5500,高楼层/18层,75,枫泉花园,精装
整租,,押1付3,16000,低楼层/6层,147.33,名都园,精装
整租,,押2付3,18000,中楼层/14层,154,中粮祥云小镇,精装
整租,距离地铁马泉营1395米,押2付3,5500,顶层/6层,65,马南里小区,中装
整租,距离地铁马泉营1395米,押2付3,6000,中楼层/6层,76,马南里小区,精装
整租,,押2付3,8500,中楼层/9层,76,中粮祥云小镇,豪装
整租,距离地铁花梨坎726米,押2付3,4500,高楼层/15层,60,枫泉花园,精装
整租,距离地铁马泉营1395米,押2付3,5500,顶层/6层,61,马南里小区,中装
整租,,押2付3,16000,高楼层/14层,145,中粮祥云小镇,精装
整租,距离地铁国展765米,押2付3,6500,低楼层/11层,100,蓝湾天恒花园,精装
整租,,押2付3,4000,中楼层/18层,60,天裕昕园,精装
整租,距离地铁花梨坎726米,押1付3,4000,高楼层/16层,60,枫泉花园,精装
整租,,押2付3,4500,中楼层/18层,80,天裕昕园,精装
整租,距离地铁孙河1281米,押2付3,5500,中楼层/12层,87,康营家园,精装
整租,距离地铁孙河1281米,押2付3,5800,高楼层/13层,90,康营家园,精装
整租,,押1付3,13000,中楼层/14层,110,中粮祥云小镇,精装
整租,,押2付3,5500,中楼层/11层,80,翠竹新村,精装
整租,,押2付3,18000,底层/5层,185,莫奈花园福祥苑,精装
整租,距离地铁国展289米,押2付3,12000,高楼层/10层,198,蓝庭院,中装
整租,距离地铁善各庄1014米,押2付3,4300,高楼层/17层,55,香江北岸,中装
整租,,押1付3,22000,顶层/2层,239,莫奈花园福祥苑,精装
整租,距离地铁花梨坎726米,押2付3,5000,高楼层/14层,70,枫泉花园,精装
整租,,押2付3,6500,高楼层/14层,71.5,中粮祥云小镇,精装
